movieid,title,year,movieurl,release_date,release_country,Trailer_Results,href,title,date,director,writer,cast,Trailers,Have_Trailer,Soundtrack,,,,
tt0472033,9,2009,http://www.imdb.com/title/tt0472033/,9/9/2009,USA,1,/9-feature,9,9/9/2009,Shane Acker,"Shane Acker, Pamela Pettler","Christopher Plummer,  Martin Landau,  Wendy Reid",35,1,,,album,1352,1080
tt0478087,21,2008,http://www.imdb.com/title/tt0478087/,3/28/2008,USA,10,/21,21,3/28/2008,Robert Luketic,"Peter Steinfeld, Allan Loeb","Kevin Spacey,  Jim Sturgess,  Kate Bosworth",8,1,,,playlist,33,29
tt0453562,42,2013,http://www.imdb.com/title/tt0453562/,4/12/2013,USA,2,/42,42,4/12/2013,Brian Helgeland,Brian Helgeland,"Harrison Ford,  Christopher Meloni,  Ryan Merriman",43,1,album,,,,
tt0120577,54,1998,http://www.imdb.com/title/tt0120577/,8/28/1998,USA,2,/54,54,8/28/1998,Mark Christopher,Mark Christopher,"Ryan Phillippe,  Salma Hayek,  Neve Campbell",11,1,,,,,
tt0416449,300,2007,http://www.imdb.com/title/tt0416449/,3/9/2007,USA,2,/300,300,3/9/2007,Zack Snyder,"Zack Snyder, Kurt Johnstad, Michael","Gerard Butler,  Lena Headey,  David Wenham",25,1,album,,,,
tt0450385,1408,2007,http://www.imdb.com/title/tt0450385/,6/22/2007,USA,1,/1408,1408,6/22/2007,Mikael H?fstr?m,"Matt Greenberg, Scott Alexander, Larry Karaszewski","John Cusack,  Samuel L. Jackson,  Mary McCormack",9,1,album,,,,
tt8579674,1917,2020,https://www.imdb.com/title/tt8579674/,1/10/2020,USA,1,/1917,1917,12/25/2019,Sam Mendes,"Sam Mendes, Krysty Wilson-Cairns","Richard Madden,  Benedict Cumberbatch,  Mark Strong",7,1,,,,,
tt1190080,2012,2009,http://www.imdb.com/title/tt1190080/,11/13/2009,USA,4,/2012,2012,11/13/2009,Roland Emmerich,"Roland Emmerich, Harald Kloser","John Cusack,  Amanda Peet,  Chiwetel Ejiofor",63,1,album,,,,
tt1022603,(500) Days of Summer,2009,http://www.imdb.com/title/tt1022603/,8/7/2009,USA,30,/500-days-of-summer,500 Days of Summer,7/17/2009,Marc Webb,"Scott Neustadter, Michael H. Weber","Zooey Deschanel,  Joseph Gordon-Levitt,  Clark Gregg",34,1,,,,,
tt0147800,10 Things I Hate About You,1999,http://www.imdb.com/title/tt0147800/,3/31/1999,USA,31,/10-things-i-hate-about-you,10 Things I Hate About You,3/31/1999,Gil Junger,"Karen McCullah Lutz, Kirsten Smith","Heath Ledger,  Julia Stiles,  Joseph Gordon-Levitt",1,1,album,,,,
tt0443649,"10,000 BC",2008,http://www.imdb.com/title/tt0443649/,3/7/2008,USA,31,/10000-bc,"10,000 BC",3/7/2008,Roland Emmerich,"Roland Emmerich, Harald Kloser","Steven Strait,  Camilla Belle,  Omar Sharif",22,1,,,,,
tt0115433,101 Dalmatians,1996,http://www.imdb.com/title/tt0115433/,11/27/1996,USA,7,,,,,,,,0,,,,,
tt0211181,102 Dalmatians,2000,http://www.imdb.com/title/tt0211181/,11/22/2000,USA,3,/102-dalmations,102 Dalmatians,11/22/2000,Kevin Lima,"Dodie Smith, Kristen Buckley, Brian Regan","Glenn Close,  Gérard Depardieu,  Ioan Gruffudd",1,1,,,,,
tt1160368,12 Rounds,2009,http://www.imdb.com/title/tt1160368/,3/27/2009,USA,16,/12-rounds,12 Rounds,3/27/2009,Renny Harlin,Daniel Kunka,"John Cena,  Steve Harris,  Aidan Gillen",4,1,,,,,
