title,movieid,year,perf_match,am_href,am_title,am_genres
Josie and the Pussycats,tt0236348,2001,mw0000000996,https://www.allmusic.com/album/josie-and-the-pussycats-original-soundtrack-mw0000000996,Josie and the Pussycats [Original Soundtrack],"Stage & Screen, Pop/Rock"
Along Came a Spider,tt0164334,2001,mw0000001648,https://www.allmusic.com/album/along-came-a-spider-mw0000001648,Along Came a Spider,Stage & Screen
One Night at McCool's,tt0203755,2001,mw0000001717,https://www.allmusic.com/album/one-night-at-mccools-mw0000001717,One Night at McCool's,"Stage & Screen, Pop/Rock"
Freddy Got Fingered,tt0240515,2001,mw0000002060,https://www.allmusic.com/album/freddy-got-fingered-mw0000002060,Freddy Got Fingered,"Stage & Screen, Pop/Rock"
The Tailor of Panama,tt0236784,2001,mw0000002589,https://www.allmusic.com/album/the-tailor-of-panama-mw0000002589,The Tailor of Panama,Stage & Screen
The Mummy Returns,tt0209163,2001,mw0000003240,https://www.allmusic.com/album/the-mummy-returns-original-motion-picture-soundtrack-mw0000003240,The Mummy Returns [Original Motion Picture Soundtrack],Stage & Screen
Pearl Harbor,tt0213149,2001,mw0000004817,https://www.allmusic.com/album/pearl-harbor-music-from-the-motion-picture-mw0000004817,Pearl Harbor [Music from the Motion Picture],Stage & Screen
Tomb Raider,tt1365519,2018,mw0000005651,https://www.allmusic.com/album/tomb-raider-original-motion-picture-soundtrack-mw0000005651,Tomb Raider [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
Sordid Lives,tt0204640,2001,mw0000005935,https://www.allmusic.com/album/sordid-lives-mw0000005935,Sordid Lives,Stage & Screen
Sexy Beast,tt0203119,2001,mw0000005951,https://www.allmusic.com/album/sexy-beast-soundtrack-mw0000005951,Sexy Beast [Soundtrack],"Stage & Screen, Pop/Rock"
American Pie 2,tt0252866,2001,mw0000006699,https://www.allmusic.com/album/american-pie-2-mw0000006699,American Pie 2,Stage & Screen
What's the Worst That Could Happen?,tt0161083,2001,mw0000006703,https://www.allmusic.com/album/whats-the-worst-that-could-happen-mw0000006703,What's the Worst That Could Happen?,Stage & Screen
Final Fantasy: The Spirits Within,tt0173840,2001,mw0000009998,https://www.allmusic.com/album/final-fantasy-the-spirits-within-original-motion-picture-soundtrack-mw0000009998,Final Fantasy: The Spirits Within [Original Motion Picture Soundtrack],Stage & Screen
