id,imdb_id,film_title,year,tradd_url,link,filename,mp4,cheerful,passionate,sad,excited,mighty,expectant ,bar,drive,night,run,twilight,love,movie,broadway,animation,KTV hit,Oscar,advertisement,two dimensions,Disney,comic film,the 00's ,the 10's ,action,adventure,comicbook,comedy,thriller,drama,musical,war,sci fi,fantasy,crime,mystery,romance,epic,sport,family,chroma,spec_cent,spec_bw,rolloff,zcr,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
1,tt0848228,The Avengers,2012,/the-avengers,/the-avengers/feature-trailer,the-avengers_feature-trailer,https://vod-progressive.akamaized.net/exp=1614567052~acl=%2A%2F672628421.mp4%2A~hmac=67225923774e951b304981850cf239c0bc9193be72459ab42e5d0cafea9df44e/vimeo-prod-skyfire-std-us/01/4885/7/199427458/672628421.mp4?filename=The+Avengers+-+Feature+Trailer+%2853612%29.mp4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509800315,1087.249877,1441.084653,2390.374435,0.03589749,-203.6156464,152.349884,-12.64139462,43.75274277,1.193362594,26.82644844,-2.863328695,16.11776733,1.831071615,8.940004349,2.949815512,1.29444921,7.042176723,-1.45819521,7.432351112,-2.677832127,5.347476959,-1.99658525,4.955462456,-0.887109399
3,tt0416449,300,2007,/300,/300/teaser-trailer,300_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614567471~acl=%2A%2F667678482.mp4%2A~hmac=9d992b7c63772cc6126d24ed16734b6e91625586b47b010656f8f1c94934c3a4/vimeo-prod-skyfire-std-us/01/4660/7/198302882/667678482.mp4?filename=300+-+Teaser+Trailer+%2835%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.508378267,1635.538052,1687.010681,3080.936926,0.11473652,-314.5384521,118.7189178,6.714498043,16.76964378,8.950476646,15.82037735,3.19393158,6.212918758,-2.460425138,7.171021938,2.498882294,2.780241728,-3.236729622,5.847680092,-0.138693795,1.611546278,-1.129114747,2.22517705,0.339783162,5.944112301
4,tt1190080,2012,2009,/2012,/2012/trailer,2012_trailer,https://vod-progressive.akamaized.net/exp=1614567481~acl=%2A%2F668502326.mp4%2A~hmac=c835f9557549084810ca9ba8d61a841abd644ffae958215450149ba39a647d03/vimeo-prod-skyfire-std-us/01/4698/7/198492618/668502326.mp4?filename=2012+-+Trailer+%2811768%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533185065,2091.033936,1904.931404,4029.253413,0.088999714,-292.0202637,104.0533905,-14.24987888,14.74720669,5.023803234,14.79419518,1.967780709,6.326836109,3.410594225,6.87824297,0.974687457,4.152955532,4.73145628,2.980916262,1.467879653,4.905989647,1.211960912,2.440015793,-0.290994585,-1.290575981
5,tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/trailer,500-days-of-summer_trailer,https://vod-progressive.akamaized.net/exp=1614567486~acl=%2A%2F668404448.mp4%2A~hmac=5e34b0daa8a768bf7c65d0c757c4eb3a14a560b073e8deff4391bfc0ee317ff3/vimeo-prod-skyfire-std-us/01/4693/7/198468771/668404448.mp4?filename=500+Days+of+Summer+-+Trailer+%289268%29.mp4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.320687324,1400.266361,1426.147646,2657.045044,0.086369344,-312.9893494,118.212677,-21.82831001,24.03124619,10.04899883,-13.62745285,7.742021084,1.060485125,-11.07978344,4.995441914,-4.936898708,-4.829986095,-5.33405304,-0.170331672,-6.019267082,-3.56145525,-0.974600434,-3.609802723,-4.716506958,-0.460968882
6,tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/teaser-trailer,500-days-of-summer_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614567490~acl=%2A%2F668375387.mp4%2A~hmac=b457b85bcc77a4f2bf2d3ab59e6b374d7fc7b8075c30fabe0f5a30100c998fcc/vimeo-prod-skyfire-std-us/01/4692/7/198461571/668375387.mp4?filename=500+Days+of+Summer+-+Teaser+Trailer+%288287%29.mp4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.393604755,1736.002063,1889.613815,3580.506127,0.066156314,-254.3441162,97.50670624,-3.27602911,33.95965576,-3.490130186,5.038166046,-4.369046211,-3.119444847,-10.93686104,-1.755024195,-11.70807552,-3.613095999,-8.707841873,-6.621274471,-12.92064953,-0.999024034,-10.82586861,-2.538750887,-1.236454368,2.061293364
8,tt2172934,3 Days to Kill,2014,/3-days-to-kill,/3-days-to-kill/trailer,3-days-to-kill_trailer,https://vod-progressive.akamaized.net/exp=1614567499~acl=%2A%2F674263491.mp4%2A~hmac=68fd888b37238329d94c1d19c5b66fc3e748f364d4727ec72359540dee3630ae/vimeo-prod-skyfire-std-us/01/4961/7/199806271/674263491.mp4?filename=3+Days+to+Kill+-+Trailer+%2884593%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.436621785,1507.594557,1747.271818,3217.90832,0.06520016,-209.2928925,95.32501984,6.406835556,23.19515038,7.51486063,16.70013046,6.25784874,9.238675117,0.974593222,6.097691536,2.620368719,5.859736443,-1.825392008,4.90833807,0.380300403,5.037938118,-2.987878799,1.052237988,-1.17189455,1.493223429
11,tt1091722,Adventureland,2009,/adventureland,/adventureland/trailer,adventureland_trailer,https://vod-progressive.akamaized.net/exp=1614567514~acl=%2A%2F668353026.mp4%2A~hmac=4c7c0688ab0356eaead0788f33e1d81ac5641ffb93d45a9f41780b261e8991c2/vimeo-prod-skyfire-std-us/01/4691/7/198455953/668353026.mp4?filename=Adventureland+-+Trailer+%287454%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.465365708,2105.698126,2296.289485,4448.94532,0.096324688,-236.1885071,86.28960419,-9.939058304,23.21521378,1.117962003,-1.473523259,-10.9458046,-1.973218083,-9.859992027,-1.826484084,-9.119749069,-2.972752571,-7.571946621,-3.529186726,-6.012622833,-2.887239456,-9.335000038,-1.936675549,-6.546334267,-2.902773142
12,tt0881891,All About Steve,2009,/all-about-steve,/all-about-steve/trailer,all-about-steve_trailer,https://vod-progressive.akamaized.net/exp=1614567525~acl=%2A%2F668371410.mp4%2A~hmac=d270ca136c8020e98aab06a1a0c17615f50cf1e2655093e90da7d941f9b6f7c4/vimeo-prod-skyfire-std-us/01/4692/7/198460585/668371410.mp4?filename=All+About+Steve+-+Trailer+%288138%29.mp4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.393025935,2223.997694,2120.595605,4352.607014,0.143033149,-316.8094788,95.82750702,-11.33880329,29.11834908,-1.398049235,3.463294029,-6.692231655,3.26710701,-2.847970009,1.953162074,-7.564694881,0.021094607,-5.170860767,-2.157314301,-4.595577717,-1.025185943,-4.989789009,-0.653275609,-6.18653965,-1.868390799
14,tt1823664,Annie,2014,/annie-2014,/annie-2014/feature-trailer,annie-2014_feature-trailer,https://vod-progressive.akamaized.net/exp=1614567806~acl=%2A%2F674840884.mp4%2A~hmac=07b1bebb3757ade7f7d6221d2434c77bc5ef5dc342188076df0cde607e379484/vimeo-prod-skyfire-std-us/01/4986/7/199934333/674840884.mp4?filename=Annie+-+Feature+Trailer+%2891065%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0.472459644,2491.272324,2427.17555,5101.908038,0.134729344,-222.874588,84.55102539,1.957958698,21.03599739,0.865151763,10.39672184,-0.660553277,7.181198597,2.460262299,5.622821331,-0.403782308,4.654294491,1.23709476,4.188387394,-1.003648043,4.268902302,-1.4962008,2.245188475,-3.301381111,0.861144185
15,tt1823664,Annie,2014,/annie-2014,/annie-2014/trailer,annie-2014_trailer,https://vod-progressive.akamaized.net/exp=1614557024~acl=%2Fvimeo-prod-skyfire-std-us%2F01%2F4972%2F7%2F199864724%2F674529214.mp4~hmac=1d8a6eb56ff3e968ac5dd38f92f5bbcb709ad80bfe2bcde7ad742fc6d6defc91/vimeo-prod-skyfire-std-us/01/4972/7/199864724/674529214.mp4?filename=Annie+-+Trailer+%2887482%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0.395561844,2792.545264,2421.421848,5403.878435,0.159430631,-208.0124054,69.11853027,-8.588078499,15.35308266,-5.11570549,3.277378082,-2.319413185,3.736619949,-2.143377781,0.889093876,-3.834574938,0.189199463,-3.821305275,1.504744411,-4.401455879,2.115327597,-2.300615788,1.357097149,-2.172807693,2.125946283
