title,movieid,year,movieurl,release_date,release_country,Trailer_Results,href,title,date,director,writer,cast,Trailers
Tremors,tt0100814,1990,http://www.imdb.com/title/tt0100814/,1/19/1990,USA,4,/tremors,Tremors,1/19/1990,Ron Underwood,"Brent Maddock, S.S. Wilson","Kevin Bacon,  Fred Ward,  Finn Carter",2
Nightbreed,tt0100260,1990,http://www.imdb.com/title/tt0100260/,2/16/1990,USA,1,/nightbreed,Nightbreed,2/16/1990,Clive Barker,Clive Barker,"Craig Sheffer,  Anne Bobby,  David Cronenberg",2
The Hunt for Red October,tt0099810,1990,http://www.imdb.com/title/tt0099810/,3/2/1990,USA,31,/hunt-red-october,The Hunt for Red October,3/2/1990,John McTiernan,"Tom Clancy, Larry Ferguson","Sean Connery,  Alec Baldwin,  Scott Glenn",1
Joe Versus the Volcano,tt0099892,1990,http://www.imdb.com/title/tt0099892/,3/9/1990,USA,31,/joe-versus-the-volcano,Joe Versus the Volcano,3/9/1990,John Patrick Shanley,John Patrick Shanley,"Tom Hanks,  Meg Ryan,  Lloyd Bridges",1
Lambada,tt0099969,1990,http://www.imdb.com/title/tt0099969/,3/16/1990,USA,1,/lambada,Lambada,3/16/1990,Joel Silberg,"Joel Silberg, Sheldon Renan","J. Eddie Peck,  Melora Hardin,  Adolfo Quinones",1
A Shock to the System,tt0100602,1990,http://www.imdb.com/title/tt0100602/,3/23/1990,USA,31,/a-shock-to-the-system,A Shock to the System,3/23/1990,Jan Egleson,"Andrew Klavan, Simon Brett","Michael Caine,  Elizabeth McGovern,  Swoosie Kurtz",1
Pretty Woman,tt0100405,1990,http://www.imdb.com/title/tt0100405/,3/23/1990,USA,31,/pretty-woman,Pretty Woman,3/23/1990,Garry Marshall,J.F. Lawton,"Richard Gere,  Julia Roberts,  Hector Elizondo",1
Teenage Mutant Ninja Turtles,tt0100758,1990,http://www.imdb.com/title/tt0100758/,3/30/1990,USA,28,/teenage-mutant-ninja-turtles,Teenage Mutant Ninja Turtles,3/30/1990,Steve Barron,"Kevin Eastman, Peter Laird, Bobby Herbeck, Todd W. Langen, Bobby Herbeck","Judith Hoag,  Elias Koteas,  Josh Pais",2
Cry-Baby,tt0099329,1990,http://www.imdb.com/title/tt0099329/,4/6/1990,USA,30,/cry-baby,Cry-Baby,4/6/1990,John Waters,John Waters,"Johnny Depp,  Amy Locane,  Polly Bergen",1
Back to the Future Part III,tt0099088,1990,http://www.imdb.com/title/tt0099088/,5/25/1990,USA,31,/back-to-the-future-part-iii,Back to the Future Part III,5/25/1990,Robert Zemeckis,"Robert Zemeckis, Bob Gale","Michael J. Fox,  Christopher Lloyd,  Mary Steenburgen",3
Fire Birds,tt0099575,1990,http://www.imdb.com/title/tt0099575/,5/25/1990,USA,31,/fire-birds,Fire Birds,5/25/1990,David Green,"Step Tyner, John K. Swensson","Nicolas Cage,  Tommy Lee Jones,  Sean Young",2
Total Recall,tt0100802,1990,http://www.imdb.com/title/tt0100802/,6/1/1990,USA,8,/total-recall,Total Recall,6/1/1990,Paul Verhoeven,"Philip K. Dick,  Ronald Shusett, Dan O'Bannon, Jon Povill, Gary Goldman","Arnold Schwarzenegger,  Rachel Ticotin,  Sharon Stone",3
Another 48 Hrs.,tt0099044,1990,http://www.imdb.com/title/tt0099044/,6/8/1990,USA,30,/48-hrs,48 Hrs.,8-Dec-82,Walter Hill,"Walter Hill, Roger Spottiswoode, Larry Gross, Steven E. de Souza, Jeb Stuart, Eddie Murphy, John Fasano","Nick Nolte,  Eddie Murphy,  Annette O'Toole",1
RoboCop 2,tt0100502,1990,http://www.imdb.com/title/tt0100502/,6/22/1990,USA,3,/robocop-2,RoboCop 2,6/22/1990,Irvin Kershner,"Frank Miller, Walon Green","Peter Weller,  Nancy Allen,  Dan O'Herlihy",1
Days of Thunder,tt0099371,1990,http://www.imdb.com/title/tt0099371/,6/27/1990,USA,31,/days-of-thunder,Days of Thunder,6/27/1990,Tony Scott,Robert Towne,"Tom Cruise,  Robert Duvall,  Nicole Kidman",1
Ghost Dad,tt0099654,1990,http://www.imdb.com/title/tt0099654/,6/29/1990,USA,31,/ghost-dad,Ghost Dad,6/29/1990,Sidney Poitier,"Brent Maddock, S.S. Wilson","Bill Cosby,  Holly Guthrie,  Kimberly Russell",1
The Adventures of Ford Fairlane,tt0098987,1990,http://www.imdb.com/title/tt0098987/,7/11/1990,USA,31,/the-adventures-of-ford-fairlane,The Adventures of Ford Fairlane,7/11/1990,Renny Harlin,"David Arnott, James Cappe, Daniel Waters","Andrew Dice Clay,  Wayne Newton,  Priscilla Presley",1
Ghost,tt0099653,1990,http://www.imdb.com/title/tt0099653/,7/13/1990,USA,31,/ghost,Ghost,7/13/1990,Jerry Zucker,Bruce Joel Rubin,"Patrick Swayze,  Demi Moore,  Whoopi Goldberg",1
Presumed Innocent,tt0100404,1990,http://www.imdb.com/title/tt0100404/,7/27/1990,USA,6,/presumed-innocent,Presumed Innocent,7/27/1990,Alan J. Pakula,"Scott Turow, Frank Pierson, Alan J. Pakula","Harrison Ford,  Brian Dennehy,  Raul Julia",1
Problem Child,tt0100419,1990,http://www.imdb.com/title/tt0100419/,7/27/1990,USA,31,/problem-child,Problem Child,7/27/1990,Dennis Dugan,"Scott Alexander, Larry Karaszewski","John Ritter,  Jack Warden,  Michael Oliver",1
Young Guns II,tt0100994,1990,http://www.imdb.com/title/tt0100994/,8/1/1990,USA,31,/young-guns-ii,Young Guns II,8/1/1990,Geoff Murphy,John Fusco,"Emilio Estevez,  Kiefer Sutherland,  Lou Diamond Phillips",2
Mo' Better Blues,tt0100168,1990,http://www.imdb.com/title/tt0100168/,8/3/1990,USA,30,/mo-better-blues,Mo' Better Blues,8/3/1990,Spike Lee,Spike Lee,"Denzel Washington,  Spike Lee,  Wesley Snipes",1
