,title,movieid,year,am_id,am_href,am_title,am_genres
0,9,tt0472033,2009,"{""id"":""mw0000564522"",""thumbnail"":true}",https://www.allmusic.com/album/9-mw0000564522,9,"Folk, Pop/Rock"
1,9,tt0472033,2009,"{""id"":""mw0000199944"",""thumbnail"":true}",https://www.allmusic.com/album/9-mw0000199944,9,Pop/Rock
2,9,tt0472033,2009,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
3,21,tt0478087,2008,"{""id"":""mw0002080092"",""thumbnail"":true}",https://www.allmusic.com/album/21-mw0002080092,21,Pop/Rock
4,21,tt0478087,2008,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
5,21,tt0478087,2008,"{""id"":""mw0000651100"",""thumbnail"":true}",https://www.allmusic.com/album/21-at-33-mw0000651100,21 at 33,Pop/Rock
6,42,tt0453562,2013,"{""id"":""mw0000194635"",""thumbnail"":true}",https://www.allmusic.com/album/level-42-mw0000194635,Level 42,"Pop/Rock, R&B"
7,42,tt0453562,2013,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
8,42,tt0453562,2013,"{""id"":""mw0000045031"",""thumbnail"":true}",https://www.allmusic.com/album/radiation-2013-mw0000045031,Radiation 2013,Pop/Rock
9,54,tt0120577,1998,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
10,54,tt0120577,1998,"{""id"":""mw0000524014"",""thumbnail"":true}",https://www.allmusic.com/album/hullabaloo-soundtrack-mw0000524014,Hullabaloo Soundtrack,Pop/Rock
11,54,tt0120577,1998,"{""id"":""mw0000180171"",""thumbnail"":true}",https://www.allmusic.com/album/the-original-soundtrack-mw0000180171,The Original Soundtrack,Pop/Rock
12,300,tt0416449,2007,"{""id"":""mw0000750377"",""thumbnail"":true}",https://www.allmusic.com/album/alive-2007-mw0000750377,Alive 2007,Electronic
13,300,tt0416449,2007,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
