,tmdb_id,imdb_id,title,year,Unnamed: 4,cast,Director,Epk Director,Epk Producer,Executive Music Producer,Executive Producer,Music,Music Director,Music Editor,Music Producer,Original Music Composer,Producer,Songs,Writer
0,12244,tt0472033,9,2009,,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane, Helen Wilson",Shane Acker,,,,,,,Shie Rozow,,"Danny Elfman, Deborah Lurie","Tim Burton, Jim Lemley, Timur Bekmambetov, Dana Ginsburg, Mary Clayton, Jinko Gotoh, Marci Levine",,
1,8065,tt0478087,21,2008,,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin, Ben Campbell, Kris Williams, Rebecca Marshall",Robert Luketic,,,,"Brett Ratner, William S. Beasley, Ryan Kavanaugh",,,Carlton Kaller,,David Sardy,"Michael De Luca, Dana Brunetti",,
2,109410,tt0453562,42,2013,,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni, Ryan Merriman, Lucas Black, André Holland, Alan Tudyk, Hamish Linklater, T.R. Knight, John C. McGinley, Toby Huss, Max Gail, Brad Beyer, James Pickens Jr., Gino Anthony Pesi, Brett Cullen, Jesse Luken, Jamey Holliday, Derek Phillips, Jamie Ruehling, Blake Sanders, Johnny Knight, Clint O'Brien, Dusan Brown, Cherise Boothe, Friedel Pinkston, Linc Hand, Thomas Helgeland, Matt Clark, Peter MacKenzie, Joe Inscoe, Monnae Michaell, Karole Foreman, C.J. Nitkowski, Scott Callaway, James Rackley, Aaron Farb, Anthony S. Goolsby, Lou Criscuolo, Ross Hughes, Joe Knezevich, Mark Harelik, Kenny Cook, David Sweeney, Rhoda Griffis, Daniel Fenlon, Maury Covington, Henry Friedman, Holden Hansen, Dan Mengini, Jon Kohler, Marc Gowan, Jackson Walker, Danny Vinson, Ari Blinder, William Flaman, Denise Moyé, Peter Jurasik, Michael H. Cole, Janet Metzger, Dax Griffin, Jayson Warner Smith, Jeremy Ray Taylor, Christopher Harvey, Kelley Jakle, Jud Tylor, Tobias Michael Finn, Ercell A. Grimes Jr., Dwight Houser, Barry Suttle, Andrew B. Roberts, Jimmie L. Coleman, Steve Hicks, Wayne Hickey, Andrew C. Mullins, Dennis A. Spears, Gary Miller, Todd Wilson, David Thoms, Richard Tavernaro, Hunter Clowdus",Brian Helgeland,,,,"Jon Jashni, Jason Clark, Dick Cook",,,"John Finklea, Thomas Milano",,Mark Isham,Thomas Tull,,
3,3682,tt0120577,54,1998,,"Ryan Phillippe, Salma Hayek, Breckin Meyer, Mike Myers, Neve Campbell, Sherry Stringfield, Sela Ward, Daniel Lapaine, Erika Alexander, Heather Matarazzo, Aemilia Robinson, Skipp Sudduth, Mark Ruffalo, Lauren Hutton, Arthur J. Nascarella, John Hines, Barbara Radecki, Sean Sullivan, Coati Mundi, Sheryl Crow, Heidi Klum, Donald Trump, Sophie Rousseau, Cindy Crawford, Georgina Grenville, Victor Browne, Noam Jenkins, Cameron Mathison, Jay Goede, Patrick Taylor, Michael Pitt, Ellen Albertini Dow, Vieslav Krystyan, Victor Sutherland, Domenick Lombardozzi",Mark Christopher,,,,"Bobby Cohen, Bob Weinstein, Harvey Weinstein, Don Carmody",,,"Nic Ratner, John Finklea, Chris McGeary, Sienna Finklea",,Marco Beltrami,"Richard N. Gladstein, Ira Deutchman, Dolly Hall",,Mark Christopher
4,1271,tt0416449,300,2007,,"Gerard Butler, Lena Headey, Dominic West, David Wenham, Vincent Regan, Michael Fassbender, Tom Wisdom, Stephen McHattie, Andrew Tiernan, Andrew Pleavin, Rodrigo Santoro, Giovani Cimmino, Tyler Neitzel, Eli Snyder, Tim Connolly, Marie-Julie Rivest, Peter Mensah, Arthur Holden, Michael Sinelnikoff, Kelly Craig, Greg Kramer, Alex Ivanovici, Tom Rack, James Bradford, Sebastian St. Germain, John Dunn-Hill, Dennis St John, Neil Napier, Dylan Smith, Maurizio Terrazzano, Kwasi Songui, Andrew Shaver, Marcel Jeannin, Robin Wilcock, Jeremy Thibodeau, Tyrone Benskin, Robert Maillet, Patrick Sabongui, David Schaap, Leon Laderach, Dave Lapommeray, Charles Papasoff, Isabelle Champeau, Maéva Nadon, David Thibodeau, Jean Michel Paré, Stewart Myiow, Andreanne Ross, Ariadne Bourbonnière, Danielle Hubbard, Elisabeth Etienne, Ruan Vibegaard, Genevieve Guilbault, Amélie Sorel, Gina Gagnon, Mercedes Leggett, Stephania Gambaroff, Chanelle Lamothe, Sabrina-Jasmine Guilbault, Manny Cortez Tuazon, Atif Y. Siddiqi, Trudi Hanley, Neon Cobran, Gary A. Hecker, Deke Richards, Darren Shahlavi, Marc Trottier, Duy Vo Van, Agnieshka Wnorowska, David Leitch",Zack Snyder,,,,"Frank Miller, Ben Waisbren, Thomas Tull, William Fay, Scott Mednick, Deborah Snyder, Craig J. Flores",,,Darrell Hall,,Tyler Bates,"Gianni Nunnari, Jeffrey Silver, Bernie Goldmann",,Frank Miller
5,3021,tt0450385,1408,2007,,"John Cusack, Samuel L. Jackson, Mary McCormack, Jasmine Jessica Anthony, Tony Shalhoub, Alexandra Silber, Noah Lee Margetts, William Armstrong, Paul Birchard, Margot Leicester, Angel Oquendo, Walter Lewis, Eric Meyers, Holly Hayes, Johann Urb, Andrew-Lee Potts, Kim Thomson, Drew Powell, Isiah Whitlock Jr., Benny Urquidez, Len Cariou, Ray Nicholas, Paul Kasey, George Cottle, William Willoughby, Thomas A. McMahon, Kevin Dobson, Peter Conboy, Georgie Lee-Robinson, Bernadette Lords, Rob McGillivray, Kate Walsh",Mikael Håfström,,,,"Bob Weinstein, Harvey Weinstein, Jake Myers, Richard Saperstein",Gabriel Yared,,,,,Lorenzo Di Bonaventura,,
6,530915,tt8579674,1917,2020,,"George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden, Claire Duburcq, Colin Firth, Benedict Cumberbatch, Daniel Mays, Adrian Scarborough, Chris Walley, Nabhaan Rizwan, Jamie Parker, Tommy French, Paul Tinto, Billy Postlethwaite, Richard McCabe, Justin Edwards, Jonny Lavelle, Gabriel Akuwudike, Pip Carter, Michael Jibson, Andy Apollo, Josef Davies, Spike Leighton, Robert Maaser, Gerran Howell, Adam Hugill, Benjamin Adams, Anson Boon, Kenny Fullwood, Ryan Nolan, Elliot Baxter, Bogdan Kumshatsky, Kye Mckee, Ivy-I Macnamara, Merlin Leonhardt, Taddeo Kufus, Jos Slovick, Luke Hornsby, Jack Shalloo, Elliot Edusah, Joe Mendes, Jacob James Beswick, Ian Wilson, Bradley Connor, John Hollingworth, Daniel Attwell, Samson Cox-Vinell, Richard Dempsey, Phil Cheadle, Jonah Russell, Michael Rouse",Sam Mendes,,,,,,,,,Thomas Newman,"Sam Mendes, Callum McDougall, Pippa Harris, Jayne-Ann Tenggren, Michael Lerman",,
7,14161,tt1190080,2012,2009,,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Woody Harrelson, Thandie Newton, Danny Glover, Oliver Platt, Tom McCarthy, Liam James, Morgan Lily, Beatrice Rosen, Johann Urb, John Billingsley, Ng Chin Han, Osric Chau, Lisa Lu, Chang Tseng, Blu Mankuma, George Segal, Stephen McHattie, Jimi Mistry, Ryan McDonald, Zlatko Burić, Philippe Haussmann, Alexandre Haussmann, Beverley Elliott, Patrick Bauchau, Tanya Champoux, Merrilyn Gann, Henry O, Patrick Gilmore, Dean Marshall, Ron Selmour, Viv Leacock, Jason Diablo, Anna Mae Routledge, Jill Morrison, Chad Riley, Kevin Haaland, Jason Griffith, Alex Zahara, Donna Yamamoto, Doron Bell, David Orth, Ty Olsson, Agam Darshi, Raj Lal, Alexandra Castillo, Candus Churchill, Luis Javier, Sean Tyson, Jody Thompson, Michael Buffer, Dan Savoie, Frank C. Turner, Eddie Hassell, Andrei Kovski, Eve Harlow",Roland Emmerich,,,,"Roland Emmerich, Ute Emmerich, Michael Wimer",,,Fernand Bos,,"Harald Kloser, Thomas Wanker","Larry J. Franco, Harald Kloser, Mark Gordon, Volker Engel, Marc Weigert, Aaron Boyd, Kirstin Winkler",,"Harald Kloser, Roland Emmerich"
8,19913,tt1022603,(500) Days of Summer,2009,,"Joseph Gordon-Levitt, Zooey Deschanel, Chloë Grace Moretz, Geoffrey Arend, Matthew Gray Gubler, Clark Gregg, Patricia Belcher, Rachel Boston, Minka Kelly, Ian Reed Kesler, Valente Rodriguez, Yvette Nicole Brown, Nicole Vicius, Charles Walker, Darryl Alan Reed, Gregory Thompson, Natalie Boren, Maile Flanagan, Darryl Sivad, Sybil Azur, Rebecca Lin, Alejandro Estornel, Nadine Ellis, Anthony Marciona, Katie Malia, Ryan Thomas, Christian Vincent, Tracy Phillips, Bryan Anthony, Reshma Gajjar, Tiffany Granath, Jennifer Hamilton, Alexandra Nicole Hulme, Kenneth Hughes, Christopher Martinez, Vivian Nixon, Nathan Prevost, Gelsey Weiss, Jennifer Lee Keyes, Gus Carr",Marc Webb,,,,,,,Jen Monnar,,"Mychael Danna, Rob Simonsen","Steven J. Wolfe, Mason Novick, Mark Waters, Jessica Tuchinsky",,
9,4951,tt0147800,10 Things I Hate About You,1999,,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan, Susan May Pratt, Gabrielle Union, Larry Miller, Daryl Mitchell, Allison Janney, David Leisure, Greg Jackson, Kyle Cease, Terence Heuston, Cameron Fraser, Eric Riedmann, Quinn Maixner, Demegio Kimbrough, Todd Butler, Dennis Mosley, Bianca Kajlich, Nick Vukelic, Ben Laurance, Aidan Kennedy, Jelani Quinn, Jesse Dyer, Aaron Therol, Carlos Lacámara, Heather Taylor, Joshua Thorpe, J.R. Johnson, Wendy Gottlieb, Brian Hood, Travis Muller, Ari Karczag, Laura Kenny, Alice Evans, Jesper Inglis, Nick Brown, Monique Powell, Brian Mashburn, Kay Hanley, Michael Eisenstein",Gil Junger,,,Ralph Sall,"Seth Jaret, Jeffrey Chernov",,,,,Richard Gibbs,Andrew Lazar,,"Karen McCullah Lutz, Kirsten Smith"
10,7840,tt0443649,"10,000 BC",2008,,"Steven Strait, Camilla Belle, Cliff Curtis, Nathanael Baring, Mo Zinal, Affif Ben Badra, Mona Hammond, Marco Khan, Reece Ritchie, Joel Fry, Joel Virgel, Omar Sharif, Kristian Beazley, Junior Oliphant, Louise Tu'u, Jacob Renton, Grayson Hunt Urwin, Farouk Valley-Omar, Boubacar Babiane, Joe Vaz, Charles Baloyi, Tim Barlow, Gabriel Malema, Mark Simmons, Hannah Westbury, Antonio Fisher, Steven Afrikaner, David Dennis, Tony Caprari, Matthew Navin, Nimiah Rodgers, Kolby Pistak, Ben Hart, Ben Coyle-Larner, Joshua Peters, Heberth Somaeb, Sadrag Nakale, Mykhail Cohen, Janine Manuel, Kabelo Murray, Andrew Stehlin, Suri van Sornsen",Roland Emmerich,,,,"Sarah Bradshaw, Tom Karnowski, Harald Kloser, Thomas Tull, William Fay",,,Christopher Benstead,,"Harald Kloser, Thomas Wanker","Roland Emmerich, Mark Gordon, Michael Wimer",,
11,11674,tt0115433,101 Dalmatians,1996,,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright, Hugh Laurie, Mark Williams, John Shrapnel, Tim McInnerny, Hugh Fraser, Michael Percival, Neville Phillips, John Benfield, Frank Welker, Sherry Lynn, Mickie McGowan, Gerald Paris, Brian Capron, Harry Fielder, Toby Hinson, Zohren Weiss",Stephen Herek,,,,Edward S. Feldman,Michael Kamen,,,,,"John Hughes, Ricardo Mestres",,
