album_type,artists,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,external_urls.spotify,collaborative,description,primary_color,public,snapshot_id,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1gsT5GesFZ2qkDkgPxMUA1'}, 'href': 'https://api.spotify.com/v1/artists/1gsT5GesFZ2qkDkgPxMUA1', 'id': '1gsT5GesFZ2qkDkgPxMUA1', 'name': 'EA Games Soundtrack', 'type': 'artist', 'uri': 'spotify:artist:1gsT5GesFZ2qkDkgPxMUA1'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/42ct1t3tvtRj3BTRAbZnJN'}, 'href': 'https://api.spotify.com/v1/artists/42ct1t3tvtRj3BTRAbZnJN', 'id': '42ct1t3tvtRj3BTRAbZnJN', 'name': 'Nick LaMartina', 'type': 'artist', 'uri': 'spotify:artist:42ct1t3tvtRj3BTRAbZnJN'}]",https://api.spotify.com/v1/albums/3sxAbZWu0pwQGhlGKuH7dn,3sxAbZWu0pwQGhlGKuH7dn,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27364b86636e62b1298c9a867c4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0264b86636e62b1298c9a867c4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485164b86636e62b1298c9a867c4', 'width': 64}]","Ultima Forever: Quest for the Avatar, Pt. 1 (EA Games Soundtrack)",2013-10-29,day,26.0,album,spotify:album:3sxAbZWu0pwQGhlGKuH7dn,https://open.spotify.com/album/3sxAbZWu0pwQGhlGKuH7dn,,,,,,,,,,,,,
single,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5DSsAuloCxygggS0sDIuuY'}, 'href': 'https://api.spotify.com/v1/artists/5DSsAuloCxygggS0sDIuuY', 'id': '5DSsAuloCxygggS0sDIuuY', 'name': 'Rachel Clinton', 'type': 'artist', 'uri': 'spotify:artist:5DSsAuloCxygggS0sDIuuY'}]",https://api.spotify.com/v1/albums/1YlUiFkwWQlRPtTOWTCIfY,1YlUiFkwWQlRPtTOWTCIfY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735f86d820c23a9dc2dfe2558c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025f86d820c23a9dc2dfe2558c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515f86d820c23a9dc2dfe2558c', 'width': 64}]",Avatar: Tla and Legend of Korra Piano Soundtrack - From Screen to Keys,2013-06-30,day,5.0,album,spotify:album:1YlUiFkwWQlRPtTOWTCIfY,https://open.spotify.com/album/1YlUiFkwWQlRPtTOWTCIfY,,,,,,,,,,,,,
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4UagVo7pQlwndVxiGzoRq9'}, 'href': 'https://api.spotify.com/v1/artists/4UagVo7pQlwndVxiGzoRq9', 'id': '4UagVo7pQlwndVxiGzoRq9', 'name': 'Robby Cool', 'type': 'artist', 'uri': 'spotify:artist:4UagVo7pQlwndVxiGzoRq9'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/28ADZIsX6uhwNPhS4Y1wr8'}, 'href': 'https://api.spotify.com/v1/artists/28ADZIsX6uhwNPhS4Y1wr8', 'id': '28ADZIsX6uhwNPhS4Y1wr8', 'name': 'The Hollywood Singers + Orchestra', 'type': 'artist', 'uri': 'spotify:artist:28ADZIsX6uhwNPhS4Y1wr8'}]",https://api.spotify.com/v1/albums/4TdAFjR0BVBjKNoqQSRWxY,4TdAFjR0BVBjKNoqQSRWxY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a98e952860d2fff5fd0098e6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a98e952860d2fff5fd0098e6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a98e952860d2fff5fd0098e6', 'width': 64}]",Avatar (The Soundtrack Highlights),2014-08-20,day,12.0,album,spotify:album:4TdAFjR0BVBjKNoqQSRWxY,https://open.spotify.com/album/4TdAFjR0BVBjKNoqQSRWxY,,,,,,,,,,,,,
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/260h4Y8u1fiT0twAUTR5yl'}, 'href': 'https://api.spotify.com/v1/artists/260h4Y8u1fiT0twAUTR5yl', 'id': '260h4Y8u1fiT0twAUTR5yl', 'name': 'William Maytook', 'type': 'artist', 'uri': 'spotify:artist:260h4Y8u1fiT0twAUTR5yl'}]",https://api.spotify.com/v1/albums/6qQgLmmKuZEp8UeodNIBJQ,6qQgLmmKuZEp8UeodNIBJQ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d0e2a0b4e88597532531b94f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d0e2a0b4e88597532531b94f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d0e2a0b4e88597532531b94f', 'width': 64}]",AVATAR 2 | Fan-Made Soundtrack,2018,year,7.0,album,spotify:album:6qQgLmmKuZEp8UeodNIBJQ,https://open.spotify.com/album/6qQgLmmKuZEp8UeodNIBJQ,,,,,,,,,,,,,
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1iDCg2YPc1sRji7srCt6jr'}, 'href': 'https://api.spotify.com/v1/artists/1iDCg2YPc1sRji7srCt6jr', 'id': '1iDCg2YPc1sRji7srCt6jr', 'name': 'Adey', 'type': 'artist', 'uri': 'spotify:artist:1iDCg2YPc1sRji7srCt6jr'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/13JpnN9N2pyLFGfplPbcmY'}, 'href': 'https://api.spotify.com/v1/artists/13JpnN9N2pyLFGfplPbcmY', 'id': '13JpnN9N2pyLFGfplPbcmY', 'name': 'Vincent Bierbach', 'type': 'artist', 'uri': 'spotify:artist:13JpnN9N2pyLFGfplPbcmY'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6WxV4DZwxAuJEIXPMRB9gD'}, 'href': 'https://api.spotify.com/v1/artists/6WxV4DZwxAuJEIXPMRB9gD', 'id': '6WxV4DZwxAuJEIXPMRB9gD', 'name': 'Dwight Loop', 'type': 'artist', 'uri': 'spotify:artist:6WxV4DZwxAuJEIXPMRB9gD'}]",https://api.spotify.com/v1/albums/7pk5hCy3Bkfqe3R4sSCf94,7pk5hCy3Bkfqe3R4sSCf94,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27305f5ebe7b755c6639c51e211', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0205f5ebe7b755c6639c51e211', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485105f5ebe7b755c6639c51e211', 'width': 64}]",The Last Avatar (Original Motion Picture Soundtrack),2014-12-05,day,14.0,album,spotify:album:7pk5hCy3Bkfqe3R4sSCf94,https://open.spotify.com/album/7pk5hCy3Bkfqe3R4sSCf94,,,,,,,,,,,,,
single,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7Lhs8xZC5ccgz69bALlRKJ'}, 'href': 'https://api.spotify.com/v1/artists/7Lhs8xZC5ccgz69bALlRKJ', 'id': '7Lhs8xZC5ccgz69bALlRKJ', 'name': 'Vasant Desai', 'type': 'artist', 'uri': 'spotify:artist:7Lhs8xZC5ccgz69bALlRKJ'}]",https://api.spotify.com/v1/albums/12BNYTgDsLqKG4btRSuwiM,12BNYTgDsLqKG4btRSuwiM,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273127e12b5f4bd6a1b1418ff98', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02127e12b5f4bd6a1b1418ff98', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851127e12b5f4bd6a1b1418ff98', 'width': 64}]",Narsingh Avatar (Original Motion Picture Soundtrack),1949-01-01,day,4.0,album,spotify:album:12BNYTgDsLqKG4btRSuwiM,https://open.spotify.com/album/12BNYTgDsLqKG4btRSuwiM,,,,,,,,,,,,,
single,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/31eeDlRhZNZHCpBkWyrVBW'}, 'href': 'https://api.spotify.com/v1/artists/31eeDlRhZNZHCpBkWyrVBW', 'id': '31eeDlRhZNZHCpBkWyrVBW', 'name': 'Spektralisk', 'type': 'artist', 'uri': 'spotify:artist:31eeDlRhZNZHCpBkWyrVBW'}]",https://api.spotify.com/v1/albums/4DoIdM8E2QXthK3BOL9pne,4DoIdM8E2QXthK3BOL9pne,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734da4d4b9711ea491eed7fb4b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024da4d4b9711ea491eed7fb4b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514da4d4b9711ea491eed7fb4b', 'width': 64}]","Avatar of Darkness, Vol. 02 (Original Soundtrack)",2020-03-20,day,5.0,album,spotify:album:4DoIdM8E2QXthK3BOL9pne,https://open.spotify.com/album/4DoIdM8E2QXthK3BOL9pne,,,,,,,,,,,,,
single,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/59fmHoaOxOnODm09irzD8H'}, 'href': 'https://api.spotify.com/v1/artists/59fmHoaOxOnODm09irzD8H', 'id': '59fmHoaOxOnODm09irzD8H', 'name': 'Soundtrack Orchestra', 'type': 'artist', 'uri': 'spotify:artist:59fmHoaOxOnODm09irzD8H'}]",https://api.spotify.com/v1/albums/0qsQIf5oWX1VDmDO11sYbq,0qsQIf5oWX1VDmDO11sYbq,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27342751380f73e5268d2fea125', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0242751380f73e5268d2fea125', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485142751380f73e5268d2fea125', 'width': 64}]",I See You Avatar (Avatar Soundtrack),2019-04-10,day,1.0,album,spotify:album:0qsQIf5oWX1VDmDO11sYbq,https://open.spotify.com/album/0qsQIf5oWX1VDmDO11sYbq,,,,,,,,,,,,,
single,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/59fmHoaOxOnODm09irzD8H'}, 'href': 'https://api.spotify.com/v1/artists/59fmHoaOxOnODm09irzD8H', 'id': '59fmHoaOxOnODm09irzD8H', 'name': 'Soundtrack Orchestra', 'type': 'artist', 'uri': 'spotify:artist:59fmHoaOxOnODm09irzD8H'}]",https://api.spotify.com/v1/albums/03wTqWQ1dQOqPHW5nOxTuz,03wTqWQ1dQOqPHW5nOxTuz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739ac5dd886c3a829674fd31ad', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029ac5dd886c3a829674fd31ad', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519ac5dd886c3a829674fd31ad', 'width': 64}]","I See You (Soundtrack from ""Avatar"")",2012-12-11,day,1.0,album,spotify:album:03wTqWQ1dQOqPHW5nOxTuz,https://open.spotify.com/album/03wTqWQ1dQOqPHW5nOxTuz,,,,,,,,,,,,,
single,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/59fmHoaOxOnODm09irzD8H'}, 'href': 'https://api.spotify.com/v1/artists/59fmHoaOxOnODm09irzD8H', 'id': '59fmHoaOxOnODm09irzD8H', 'name': 'Soundtrack Orchestra', 'type': 'artist', 'uri': 'spotify:artist:59fmHoaOxOnODm09irzD8H'}]",https://api.spotify.com/v1/albums/1bLpIaToKXuHBhmFrrXMXJ,1bLpIaToKXuHBhmFrrXMXJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731bbdd2c18d586eed8e356cd1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021bbdd2c18d586eed8e356cd1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511bbdd2c18d586eed8e356cd1', 'width': 64}]","I See You (From ""Avatar"")",2012-12-10,day,1.0,album,spotify:album:1bLpIaToKXuHBhmFrrXMXJ,https://open.spotify.com/album/1bLpIaToKXuHBhmFrrXMXJ,,,,,,,,,,,,,
