imdb_id,id,title,original_title,budget,revenue,genres,imdb_id,original_language,overview,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,popularity,vote_average,vote_count,production_companies_number,production_countries_number,spoken_languages_number
tt0472033,12244,9,9,30000000,48428063,Action|Adventure|Animation|Science Fiction|Thriller,tt0472033,en,"When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good.",Tim Burton Productions|Relativity Media|Arc Productions|Starz Animation|Focus Features,United States of America,2009-08-19,79.0,English,Released,When our world ended their mission began.,47.712,6.8,2535,5,1,1
tt0478087,8065,21,21,35000000,69823199,Drama|Crime,tt0478087,en,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",Columbia Pictures|Relativity Media,United States of America,2008-03-27,123.0,English,Released,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,23.628,6.6,3248,2,1,1
tt0453562,109410,42,42,40000000,95020213,Drama,tt0453562,en,"The powerful story of Jackie Robinson, the legendary baseball player who broke Major League Baseball’s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers’ general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.",Warner Bros. Pictures|Legendary Pictures,United States of America,2013-04-12,128.0,English,Released,The True Story of an American Legend,19.528,7.1,1292,2,1,1
tt0120577,3682,54,54,13000000,16757163,Drama|Music,tt0120577,en,"Shane, a Jersey boy with big dreams, crosses the river in hopes of finding a more exciting life at Studio 54. When Steve Rubell, the mastermind behind the infamous disco, plucks Shane from the sea of faces clamoring to get inside his club, Shane not only gets his foot in the door, but lands a coveted job behind the bar – and a front-row seat at the most legendary party on the planet.",Dollface|Redeemable Features|FilmColony|Miramax,United States of America,1998-08-28,106.0,English,Released,You've never been anywhere until you've been here,12.589,5.7,308,4,1,1
tt0416449,1271,300,300,65000000,422610419,Action|Adventure|War,tt0416449,en,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",Virtual Studios|Legendary Pictures|Hollywood Gang Productions|Atmosphere Entertainment MM|Nimar Studios|Warner Bros. Pictures|Cruel & Unusual Films,United States of America,2006-12-09,117.0,English,Released,"Spartans, prepare for glory!",40.374,7.1,10266,7,1,1
tt0450385,3021,1408,1408,25000000,132963417,Horror,tt0450385,en,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",Di Bonaventura Pictures|Dimension Films|The Weinstein Company,United States of America,2007-06-22,104.0,English|Thai,Released,The only demons in room 1408 are those within you.,21.569,6.6,2949,3,1,2
tt8579674,530915,1917,1917,100000000,374733942,War|Drama|Action|Thriller,tt8579674,en,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",Universal Pictures|DreamWorks Pictures|Reliance Entertainment|New Republic Pictures,Canada|China|India|Spain|United Kingdom|United States of America,2019-12-25,119.0,English|French|German,Released,Time is the enemy,163.24,7.9,7381,4,6,3
tt1190080,14161,2012,2012,200000000,769653595,Action|Adventure|Science Fiction,tt1190080,en,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",Columbia Pictures|Centropolis Entertainment|Farewell Productions|The Mark Gordon Company,Canada|United States of America,2009-10-10,158.0,English|French|Hindi|Mandarin|Latin|Portuguese|Russian|Spanish|Italian|Tibetan,Released,We Were Warned.,53.255,5.8,9305,4,2,10
tt0147800,4951,10 Things I Hate About You,10 Things I Hate About You,16000000,53478166,Comedy|Romance|Drama,tt0147800,en,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",Touchstone Pictures|Mad Chance|Jaret Entertainment,United States of America,1999-03-30,97.0,English|French,Released,How do I loathe thee? Let me count the ways.,39.545,7.5,5521,3,1,2
tt0443649,7840,"10,000 BC","10,000 BC",105000000,266000000,Adventure|Action|Drama|Fantasy,tt0443649,en,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,Centropolis Entertainment|Legendary Pictures|The Department of Trade and Industry of South Africa|Moonlighting Films|Warner Bros. Pictures,United States of America|South Africa,2008-02-22,109.0,English,Released,The legend. The battle. The first hero.,42.005,5.4,2141,5,2,1
