,href,icons,id,name
0,https://api.spotify.com/v1/browse/categories/toplists,"[{'height': 275, 'url': 'https://t.scdn.co/media/derived/toplists_11160599e6a04ac5d6f2757f5511778f_0_0_275_275.jpg', 'width': 275}]",toplists,Top Lists
1,https://api.spotify.com/v1/browse/categories/hiphop,"[{'height': 274, 'url': 'https://t.scdn.co/media/original/hip-274_0a661854d61e29eace5fe63f73495e68_274x274.jpg', 'width': 274}]",hiphop,Hip Hop
2,https://api.spotify.com/v1/browse/categories/pop,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/pop-274x274_447148649685019f5e2a03a39e78ba52_0_0_274_274.jpg', 'width': 274}]",pop,Pop
3,https://api.spotify.com/v1/browse/categories/country,"[{'height': None, 'url': 'https://t.scdn.co/images/a2e0ebe2ebed4566ba1d8236b869241f.jpeg', 'width': None}]",country,Country
4,https://api.spotify.com/v1/browse/categories/workout,"[{'height': None, 'url': 'https://t.scdn.co/media/links/workout-274x274.jpg', 'width': None}]",workout,Workout
5,https://api.spotify.com/v1/browse/categories/rock,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/rock_9ce79e0a4ef901bbd10494f5b855d3cc_0_0_274_274.jpg', 'width': 274}]",rock,Rock
6,https://api.spotify.com/v1/browse/categories/latin,"[{'height': None, 'url': 'https://t.scdn.co/images/26a60378-a374-4cd7-b894-28efa5e154cb.jpg', 'width': None}]",latin,Latin
7,https://api.spotify.com/v1/browse/categories/shows_with_music,"[{'height': None, 'url': 'https://t.scdn.co/images/139e996f9cea4fc5a48d4ba669751aa7.jpeg', 'width': None}]",shows_with_music,Shows with music
8,https://api.spotify.com/v1/browse/categories/mood,"[{'height': 274, 'url': 'https://t.scdn.co/media/original/mood-274x274_976986a31ac8c49794cbdc7246fd5ad7_274x274.jpg', 'width': 274}]",mood,Mood
9,https://api.spotify.com/v1/browse/categories/rnb,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/r-b-274x274_fd56efa72f4f63764b011b68121581d8_0_0_274_274.jpg', 'width': 274}]",rnb,R&B
10,https://api.spotify.com/v1/browse/categories/holidays,"[{'height': None, 'url': 'https://t.scdn.co/images/dec76a385201436281efb6796a54f479.jpeg', 'width': None}]",holidays,Happy Holidays
11,https://api.spotify.com/v1/browse/categories/gaming,"[{'height': None, 'url': 'https://t.scdn.co/images/0d39395309ba47838ef12ce987f19d16.jpeg', 'width': None}]",gaming,Gaming
12,https://api.spotify.com/v1/browse/categories/radar,"[{'height': None, 'url': 'https://t.scdn.co/images/c6677aa51acf4121b66b9d1f231bd427.png', 'width': None}]",radar,RADAR
13,https://api.spotify.com/v1/browse/categories/focus,"[{'height': 274, 'url': 'https://t.scdn.co/media/original/genre-images-square-274x274_5e50d72b846a198fcd2ca9b3aef5f0c8_274x274.jpg', 'width': 274}]",focus,Focus
14,https://api.spotify.com/v1/browse/categories/edm_dance,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/edm-274x274_0ef612604200a9c14995432994455a6d_0_0_274_274.jpg', 'width': 274}]",edm_dance,Dance/Electronic
15,https://api.spotify.com/v1/browse/categories/blackhistorymonth,"[{'height': None, 'url': 'https://t.scdn.co/images/519576e01b61450390234a623c97aa9a.jpeg', 'width': None}]",blackhistorymonth,Black History Is Now
