tmdb_id,imdb_id,title,year,
12244,tt0472033,9,2009,
8065,tt0478087,21,2008,
109410,tt0453562,42,2013,
3682,tt0120577,54,1998,
1271,tt0416449,300,2007,
3021,tt0450385,1408,2007,
530915,tt8579674,1917,2020,
14161,tt1190080,2012,2009,
19913,tt1022603,(500) Days of Summer,2009,
4951,tt0147800,10 Things I Hate About You,1999,
7840,tt0443649,"10,000 BC",2008,
11674,tt0115433,101 Dalmatians,1996,
10481,tt0211181,102 Dalmatians,2000,
17134,tt1160368,12 Rounds,2009,
429351,tt1413492,12 Strong,2018,
76203,tt2024544,12 Years a Slave,2013,
44115,tt1542344,127 Hours,2011,
10096,tt0337563,13 Going on 30,2004,
1492,tt0103594,1492: Conquest of Paradise,1992,
2749,tt0179626,15 Minutes,2001,
2207,tt0450232,16 Blocks,2006,
16996,tt0974661,17 Again,2009,
1845,tt0841044,2 Days in Paris,2007,
9401,tt0115438,2 Days in the Valley,1996,
584,tt0322259,2 Fast 2 Furious,2003,
136400,tt1272878,2 Guns,2013,
15256,tt0137338,200 Cigarettes,1999,
318160,tt4383208,2015 Oscar Nominated Short Films: Animation,2015,
107811,tt1711425,21 & Over,2013,
535292,tt8688634,21 Bridges,2019,
470,tt0315733,21 Grams,2004,
64688,tt1232829,21 Jump Street,2012,
187017,tt2294449,22 Jump Street,2014,
2750,tt0274309,24 Hour Party People,2002,
1429,tt0307901,25th Hour,2003,
6557,tt0988595,27 Dresses,2008,
10468,tt0191754,28 Days,2000,
170,tt0289043,28 Days Later,2003,
1562,tt0463854,28 Weeks Later,2007,
43267,tt0101252,29th Street,1991,
192102,tt2172934,3 Days to Kill,2014,
11630,tt0098966,3 Men and a Little Lady,1990,
16314,tt0103596,3 Ninjas,1992,
18885,tt0109015,3 Ninjas Kick Back,1994,
47816,tt0199290,3 Strikes,2000,
5176,tt0381849,3:10 to Yuma,2007,
4513,tt0389722,30 Days of Night,2007,
62206,tt1622547,30 Minutes or Less,2011,
53182,tt1253863,300: Rise of an Empire,2014,
12138,tt0233142,3000 Miles to Graceland,2001,
2752,tt0243736,40 Days and 40 Nights,2002,
480105,tt7329656,47 Meters Down: Uncaged,2019,
64686,tt1335975,47 Ronin,2013,
286521,tt2933544,5 Flights Up,2015,
1824,tt0343660,50 First Dates,2004,
197583,tt1777595,50 to 1,2014,
40807,tt1306980,50/50,2011,
433627,tt5466186,7 Days in Entebbe,2018,
13982,tt0118541,8 Heads in a Duffel Bag,1997,
65,tt0298203,8 Mile,2002,
18069,tt0109021,8 Seconds,1994,
1958,tt0283832,8 Women,2002,
3489,tt0411061,88 Minutes,2008,
8224,tt0134273,8MM,1999,
501907,tt3224458,A Beautiful Day in the Neighborhood,2019,
453,tt0268978,A Beautiful Mind,2002,
1607,tt0106489,A Bronx Tale,1993,
9487,tt0120623,A Bug's Life,1998,
17979,tt1067106,A Christmas Carol,2009,
11247,tt0356470,A Cinderella Story,2004,
9422,tt0120633,A Civil Action,1999,
25373,tt0099327,A Cry in the Wild,1990,
108021,tt0106661,A Dangerous Woman,1993,
16427,tt0377744,A Day Without a Mexican,2004,
13702,tt0365125,A Dirty Shame,2004,
104896,tt0160216,A Dog of Flanders,1999,
522518,tt8385474,A Dog's Journey,2019,
508763,tt7616798,A Dog's Way Home,2019,
41852,tt0116275,A Family Thing,1996,
24736,tt0106868,A Far Off Place,1993,
881,tt0104257,A Few Good Men,1992,
47964,tt1606378,A Good Day to Die Hard,2013,
41006,tt0109920,A Good Man in Africa,1994,
9726,tt0401445,A Good Year,2006,
15789,tt0113198,A Goofy Movie,1995,
9582,tt0295289,A Guy Thing,2003,
139038,tt2243537,A Haunted House,2013,
184345,tt2828996,A Haunted House 2,2014,
59,tt0399146,A History of Violence,2005,
78133,tt0107130,A Home of Our Own,1993,
37108,tt0113538,A Kid in King Arthur's Court,1995,
31696,tt0102220,A Kiss Before Dying,1991,
9476,tt0183790,A Knight's Tale,2001,
11287,tt0104694,A League of Their Own,1992,
8067,tt0119535,A Life Less Ordinary,1997,
19101,tt0113670,A Little Princess,1995,
8976,tt0391304,A Lot Like Love,2005,
26352,tt0110399,A Low Down Dirty Shame,1994,
175555,tt2609758,A Madea Christmas,2013,
464504,tt7054636,A Madea Family Funeral,2019,
8409,tt0266465,A Man Apart,2003,
445763,tt0100101,A Man Called... Rainbo,1990,
23908,tt0102443,A Midnight Clear,1992,
10210,tt0140379,A Midsummer Night's Dream,1999,
1988,tt0829459,A Mighty Heart,2007,
13370,tt0310281,A Mighty Wind,2003,
124029,tt0110518,A Million to Juan,1994,
188161,tt2557490,A Million Ways to Die in the West,2014,
41007,tt0113849,A Month by the Lake,1995,
241239,tt2937898,A Most Violent Year,2015,
157849,tt1972571,A Most Wanted Man,2014,
9429,tt0120770,A Night at the Roxbury,1998,
23437,tt1179056,A Nightmare on Elm Street,2010,
12403,tt0971209,A Perfect Getaway,2009,
1965,tt0120787,A Perfect Murder,1998,
9559,tt0107808,A Perfect World,1993,
73501,tt0834941,A Plumm Summer,2007,
9526,tt0420087,A Prairie Home Companion,2006,
44308,tt0120793,A Price Above Rubies,1998,
475132,tt2368254,A Private War,2018,
447332,tt6644200,A Quiet Place,2018,
41780,tt0102749,A Rage in Harlem,1991,
293,tt0105265,A River Runs Through It,1992,
3509,tt0405296,A Scanner Darkly,2006,
12573,tt1019452,A Serious Man,2009,
20876,tt0100602,A Shock to the System,1990,
484247,tt7040874,A Simple Favor,2018,
10223,tt0120324,A Simple Plan,1999,
43535,tt0111194,A Simple Twist of Fate,1994,
17834,tt0120133,A Simple Wish,1997,
34653,tt1315981,A Single Man,2010,
33657,tt0120151,A Smile Like Yours,1997,
72987,tt0120835,A Soldier's Daughter Never Cries,1998,
10077,tt0318081,A Sound of Thunder,2005,
332562,tt1517451,A Star Is Born,2018,
41670,tt0105483,A Stranger Among Us,1992,
28121,tt0117891,A Thin Line Between Love and Hate,1996,
66588,tt0120323,A Thousand Acres,1997,
72358,tt0763831,A Thousand Words,2012,
1645,tt0117913,A Time to Kill,1996,
12606,tt0118073,A Very Brady Sequel,1996,
55465,tt1268799,A Very Harold & Kumar Christmas,2011,
169917,tt0365907,A Walk Among the Tombstones,2014,
9560,tt0114887,A Walk in the Clouds,1995,
28029,tt0120613,A Walk on the Moon,1999,
10229,tt0281358,A Walk to Remember,2002,
407451,tt1620680,A Wrinkle in Time,2018,
438590,tt5709188,A-X-L,2018,
644,tt0212720,A.I. Artificial Intelligence,2001,
8202,tt0402022,Æon Flux,2005,
15992,tt0267248,Abandon,2002,
59965,tt1600195,Abduction,2011,
431580,tt6324278,Abominable,2019,
245,tt0276751,About a Boy,2002,
222899,tt1826590,About Last Night,2014,
2755,tt0257360,About Schmidt,2003,
122906,tt2194499,About Time,2013,
19092,tt0109035,Above the Rim,1994,
72331,tt1611224,Abraham Lincoln: Vampire Hunter,2012,
66,tt0118548,Absolute Power,1997,
9788,tt0384793,Accepted,2006,
3049,tt0109040,Ace Ventura: Pet Detective,1994,
9273,tt0112281,Ace Ventura: When Nature Calls,1995,
139405,tt0112286,Across the Sea of Time,1995,
4688,tt0445922,Across the Universe,2007,
75674,tt1591479,Act of Valor,2012,
419704,tt2935510,Ad Astra,2019,
22051,tt1185836,Adam,2009,
2757,tt0268126,Adaptation.,2003,
2758,tt0106220,Addams Family Values,1993,
235271,tt2205401,Addicted,2014,
2058,tt0118556,Addicted to Love,1997,
144340,tt1814621,Admission,2013,
429300,tt6306064,Adrift,2018,
16614,tt1091722,Adventureland,2009,
31662,tt0118564,Affliction,1999,
537915,tt4126476,After,2019,
25501,tt0098994,"After Dark, My Sweet",1990,
82700,tt1815862,After Earth,2013,
10589,tt0367479,After the Sunset,2004,
26941,tt0118566,Afterglow,1998,
8842,tt0312329,Against the Ropes,2004,
10923,tt0313911,Agent Cody Banks,2003,
17047,tt0358349,Agent Cody Banks 2: Destination London,2004,
11856,tt0099005,Air America,1990,
20737,tt0118570,Air Bud,1997,
21661,tt0140796,Air Bud: Golden Receiver,1998,
9772,tt0118571,Air Force One,1997,
13064,tt0106233,Airborne,1993,
13595,tt0109068,Airheads,1994,
13751,tt0437800,Akeelah and the Bee,2006,
812,tt0103639,Aladdin,1992,
420817,tt6139732,Aladdin,2019,
36344,tt0115493,Alaska,1996,
17813,tt0318283,Alex & Emma,2003,
94348,tt1712170,Alex Cross,2012,
218778,tt1698641,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,
8849,tt0375173,Alfie,2004,
8489,tt0248667,Ali,2001,
12155,tt1014759,Alice in Wonderland,2010,
8078,tt0118583,Alien Resurrection,1997,
8077,tt0103644,Alien³,1992,
20856,tt0775552,Aliens in the Attic,2009,
440,tt0758730,Aliens vs Predator: Requiem,2007,
399579,tt0437086,Alita: Battle Angel,2019,
7305,tt0106246,Alive,1993,
23706,tt0881891,All About Steve,2009,
13950,tt0278295,All About the Benjamins,2002,
19042,tt0115509,All Dogs Go to Heaven 2,1996,
13644,tt0101301,All I Want for Christmas,1991,
558095,tt9206798,All Is True,2019,
1717,tt0405676,All the King's Men,2006,
21355,tt0149624,All the Pretty Horses,2000,
25943,tt0099018,Almost an Angel,1990,
786,tt0181875,Almost Famous,2000,
14342,tt0119053,Almost Heroes,1998,
222936,tt1243974,Aloha,2015,
12142,tt0369226,Alone in the Dark,2005,
2043,tt0164334,Along Came a Spider,2001,
5966,tt0343135,Along Came Polly,2004,
399360,tt4244998,Alpha,2018,
12819,tt1213012,Alpha and Omega,2010,
7457,tt0426883,Alpha Dog,2007,
6477,tt0952640,Alvin and the Chipmunks,2007,
55301,tt1615918,Alvin and the Chipmunks: Chipwrecked,2011,
