imdb_id,film_title,year,tradd_url,link,tags,filename
tt0848228,The Avengers,2012,/the-avengers,/the-avengers/feature-trailer,"Paramount Pictures|Marvel Studios|Action|Adventure|Comicbook|Samuel L. Jackson|Robert Downey, Jr.|Chris Evans|Chris Hemsworth|Jeremy Renner|Scarlett Johansson|Tom Hiddleston|Mark Ruffalo|Clark Gregg",the-avengers_feature-trailer
tt0472033,9,2009,/9-feature,/9-feature/trailer,Focus Features|Action|CG Animation|Teaser|Remake,9-feature_trailer
tt0472033,9,2009,/9-feature,/9-feature/feature-trailer,Focus Features|Action|CG Animation|Remake|Elijah Wood|Jennifer Connelly|Christopher Plummer,9-feature_feature-trailer
tt0416449,300,2007,/300,/300/teaser-trailer,Warner Bros. Pictures|Action|Comicbook|Teaser|Gerard Butler|Lena Headey|David Wenham|Vincent Regan|Rodrigo Santoro|Dominic West,300_teaser-trailer
tt1190080,2012,2009,/2012,/2012/trailer,Columbia Pictures|Action|Adventure|John Cusack|Amanda Peet|Chiwetel Ejiofor|Danny Glover|Thandie Newton|Oliver Platt|Thomas McCarthy|Woody Harrelson|Chin Han|Morgan Lily|Beatrice Rosen,2012_trailer
tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/trailer,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|Chloë Grace Moretz,500-days-of-summer_trailer
tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/teaser-trailer,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|Chloë Grace Moretz,500-days-of-summer_teaser-trailer
tt2024544,12 Years a Slave,2013,/12-years-a-slave,/12-years-a-slave/trailer,Fox Searchlight|Drama|Biopic|Chiwetel Ejiofor|Michael Fassbender|Benedict Cumberbatch|Paul Dano|Paul Giamatti|Lupita Nyong'o|Sarah Paulson|Brad Pitt|Alfre Woodard|Scoot McNairy,12-years-a-slave_trailer
tt2172934,3 Days to Kill,2014,/3-days-to-kill,/3-days-to-kill/trailer,Relativity Media|Thriller|Action|Kevin Costner|Amber Heard|Hailee Steinfeld|Connie Nielsen,3-days-to-kill_trailer
tt0120623,A Bug's Life,1998,/a-bugs-life,/a-bugs-life/trailer,Pixar Animation|Walt Disney Pictures|CG Animation|Family|Dave Foley|Denis Leary|Kevin Spacey|Phyllis Diller|Brad Garrett|Jonathan Harris,a-bugs-life_trailer
tt0405296,A Scanner Darkly,2006,/scanner-darkly,/scanner-darkly/teaser-trailer,"Warner Independent|Keanu Reeves|Robert Downey, Jr.|Woody Harrelson|Winona Ryder|Rory Cochrane|Animation",scanner-darkly_teaser-trailer
tt1091722,Adventureland,2009,/adventureland,/adventureland/trailer,Miramax Films|Comedy|Jesse Eisenberg|Ryan Reynolds|Kristen Stewart|Bill Hader|Kristen Wiig|South by Southwest Film Festival,adventureland_trailer
tt0881891,All About Steve,2009,/all-about-steve,/all-about-steve/trailer,20th Century Fox|Comedy|Sandra Bullock|Thomas Haden Church|Bradley Cooper|Sara Sanderson|Katy Mixon|Ken Jeong|M.C. Gainey|Keith David,all-about-steve_trailer
