id,imdb_id,film_title,year,tradd_url,link,tags,filename,mp4,cheerful,passionate,sad,excited,mighty,expectant ,bar,drive,night,run,twilight,love,movie,broadway,animation,KTV hit,Oscar,advertisement,two dimensions,Disney,comic film,the 00's ,the 10's ,action,adventure,comicbook,comedy,thriller,drama,musical,war,sci fi,fantasy,crime,mystery,romance,epic,sport,family
1,tt0848228,The Avengers,2012,/the-avengers,/the-avengers/feature-trailer,"Paramount Pictures|Marvel Studios|Action|Adventure|Comicbook|Samuel L. Jackson|Robert Downey, Jr.|Chris Evans|Chris Hemsworth|Jeremy Renner|Scarlett Johansson|Tom Hiddleston|Mark Ruffalo|Clark Gregg",the-avengers_feature-trailer,https://vod-progressive.akamaized.net/exp=1614567052~acl=%2A%2F672628421.mp4%2A~hmac=67225923774e951b304981850cf239c0bc9193be72459ab42e5d0cafea9df44e/vimeo-prod-skyfire-std-us/01/4885/7/199427458/672628421.mp4?filename=The+Avengers+-+Feature+Trailer+%2853612%29.mp4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,tt0416449,300,2007,/300,/300/teaser-trailer,Warner Bros. Pictures|Action|Comicbook|Teaser|Gerard Butler|Lena Headey|David Wenham|Vincent Regan|Rodrigo Santoro|Dominic West,300_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614567471~acl=%2A%2F667678482.mp4%2A~hmac=9d992b7c63772cc6126d24ed16734b6e91625586b47b010656f8f1c94934c3a4/vimeo-prod-skyfire-std-us/01/4660/7/198302882/667678482.mp4?filename=300+-+Teaser+Trailer+%2835%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4,tt1190080,2012,2009,/2012,/2012/trailer,Columbia Pictures|Action|Adventure|John Cusack|Amanda Peet|Chiwetel Ejiofor|Danny Glover|Thandie Newton|Oliver Platt|Thomas McCarthy|Woody Harrelson|Chin Han|Morgan Lily|Beatrice Rosen,2012_trailer,https://vod-progressive.akamaized.net/exp=1614567481~acl=%2A%2F668502326.mp4%2A~hmac=c835f9557549084810ca9ba8d61a841abd644ffae958215450149ba39a647d03/vimeo-prod-skyfire-std-us/01/4698/7/198492618/668502326.mp4?filename=2012+-+Trailer+%2811768%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/trailer,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|ChloÃ« Grace Moretz,500-days-of-summer_trailer,https://vod-progressive.akamaized.net/exp=1614567486~acl=%2A%2F668404448.mp4%2A~hmac=5e34b0daa8a768bf7c65d0c757c4eb3a14a560b073e8deff4391bfc0ee317ff3/vimeo-prod-skyfire-std-us/01/4693/7/198468771/668404448.mp4?filename=500+Days+of+Summer+-+Trailer+%289268%29.mp4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/teaser-trailer,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|ChloÃ« Grace Moretz,500-days-of-summer_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614567490~acl=%2A%2F668375387.mp4%2A~hmac=b457b85bcc77a4f2bf2d3ab59e6b374d7fc7b8075c30fabe0f5a30100c998fcc/vimeo-prod-skyfire-std-us/01/4692/7/198461571/668375387.mp4?filename=500+Days+of+Summer+-+Teaser+Trailer+%288287%29.mp4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,tt2172934,3 Days to Kill,2014,/3-days-to-kill,/3-days-to-kill/trailer,Relativity Media|Thriller|Action|Kevin Costner|Amber Heard|Hailee Steinfeld|Connie Nielsen,3-days-to-kill_trailer,https://vod-progressive.akamaized.net/exp=1614567499~acl=%2A%2F674263491.mp4%2A~hmac=68fd888b37238329d94c1d19c5b66fc3e748f364d4727ec72359540dee3630ae/vimeo-prod-skyfire-std-us/01/4961/7/199806271/674263491.mp4?filename=3+Days+to+Kill+-+Trailer+%2884593%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,tt1091722,Adventureland,2009,/adventureland,/adventureland/trailer,Miramax Films|Comedy|Jesse Eisenberg|Ryan Reynolds|Kristen Stewart|Bill Hader|Kristen Wiig|South by Southwest Film Festival,adventureland_trailer,https://vod-progressive.akamaized.net/exp=1614567514~acl=%2A%2F668353026.mp4%2A~hmac=4c7c0688ab0356eaead0788f33e1d81ac5641ffb93d45a9f41780b261e8991c2/vimeo-prod-skyfire-std-us/01/4691/7/198455953/668353026.mp4?filename=Adventureland+-+Trailer+%287454%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
12,tt0881891,All About Steve,2009,/all-about-steve,/all-about-steve/trailer,20th Century Fox|Comedy|Sandra Bullock|Thomas Haden Church|Bradley Cooper|Sara Sanderson|Katy Mixon|Ken Jeong|M.C. Gainey|Keith David,all-about-steve_trailer,https://vod-progressive.akamaized.net/exp=1614567525~acl=%2A%2F668371410.mp4%2A~hmac=d270ca136c8020e98aab06a1a0c17615f50cf1e2655093e90da7d941f9b6f7c4/vimeo-prod-skyfire-std-us/01/4692/7/198460585/668371410.mp4?filename=All+About+Steve+-+Trailer+%288138%29.mp4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,tt1823664,Annie,2014,/annie-2014,/annie-2014/feature-trailer,Sony Pictures|Comedy|Drama|Family|Musical/Broadway/Play|Remake|Jamie Foxx|QuvenzhanÃ© Wallis|Rose Byrne|Bobby Cannavale|Adewale Akinnuoye-Agbaje|David Zayas|Cameron Diaz|Musical,annie-2014_feature-trailer,https://vod-progressive.akamaized.net/exp=1614567806~acl=%2A%2F674840884.mp4%2A~hmac=07b1bebb3757ade7f7d6221d2434c77bc5ef5dc342188076df0cde607e379484/vimeo-prod-skyfire-std-us/01/4986/7/199934333/674840884.mp4?filename=Annie+-+Feature+Trailer+%2891065%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
15,tt1823664,Annie,2014,/annie-2014,/annie-2014/trailer,Sony Pictures|Comedy|Drama|Family|Musical/Broadway/Play|Remake|Jamie Foxx|QuvenzhanÃ© Wallis|Rose Byrne|Bobby Cannavale|Adewale Akinnuoye-Agbaje|David Zayas|Cameron Diaz|Musical,annie-2014_trailer,https://vod-progressive.akamaized.net/exp=1614557024~acl=%2Fvimeo-prod-skyfire-std-us%2F01%2F4972%2F7%2F199864724%2F674529214.mp4~hmac=1d8a6eb56ff3e968ac5dd38f92f5bbcb709ad80bfe2bcde7ad742fc6d6defc91/vimeo-prod-skyfire-std-us/01/4972/7/199864724/674529214.mp4?filename=Annie+-+Trailer+%2887482%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
