,album_type,artists,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,external_urls.spotify,movieid
0,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6jy0VQ5tLwEKBeMxZ1aK4J'}, 'href': 'https://api.spotify.com/v1/artists/6jy0VQ5tLwEKBeMxZ1aK4J', 'id': '6jy0VQ5tLwEKBeMxZ1aK4J', 'name': 'Jeff Williams', 'type': 'artist', 'uri': 'spotify:artist:6jy0VQ5tLwEKBeMxZ1aK4J'}]",https://api.spotify.com/v1/albums/687Jrlty7ZRFyWEPvYNEHC,687Jrlty7ZRFyWEPvYNEHC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d4d484ce6112efca034e4089', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d4d484ce6112efca034e4089', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d4d484ce6112efca034e4089', 'width': 64}]",Red vs. Blue Season 9 Soundtrack,2011-12-07,day,23.0,album,spotify:album:687Jrlty7ZRFyWEPvYNEHC,https://open.spotify.com/album/687Jrlty7ZRFyWEPvYNEHC,tt0472033
0,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1eEkeLJTVHWDrxBDf6xuVh'}, 'href': 'https://api.spotify.com/v1/artists/1eEkeLJTVHWDrxBDf6xuVh', 'id': '1eEkeLJTVHWDrxBDf6xuVh', 'name': 'Roque Baños', 'type': 'artist', 'uri': 'spotify:artist:1eEkeLJTVHWDrxBDf6xuVh'}]",https://api.spotify.com/v1/albums/76UcXpcqJHJQDoTkoAgWpq,76UcXpcqJHJQDoTkoAgWpq,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734c7b3d814c072f2366e82aca', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024c7b3d814c072f2366e82aca', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514c7b3d814c072f2366e82aca', 'width': 64}]",Celda 211 (Original Motion Picture Soundtrack),2010-11-16,day,12.0,album,spotify:album:76UcXpcqJHJQDoTkoAgWpq,https://open.spotify.com/album/76UcXpcqJHJQDoTkoAgWpq,tt0478087
0,compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",https://api.spotify.com/v1/albums/518q9gHXuXdE9AW8kaJjPC,518q9gHXuXdE9AW8kaJjPC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273da349657cf7ffd9f8396c251', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02da349657cf7ffd9f8396c251', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851da349657cf7ffd9f8396c251', 'width': 64}]",42 (Original Motion Picture Soundtrack),2013-04-09,day,13.0,album,spotify:album:518q9gHXuXdE9AW8kaJjPC,https://open.spotify.com/album/518q9gHXuXdE9AW8kaJjPC,tt0453562
0,compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",https://api.spotify.com/v1/albums/2MhORIIiEX9gE51YVlTzKO,2MhORIIiEX9gE51YVlTzKO,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bfdfcd322c873b5bd5eddc65', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02bfdfcd322c873b5bd5eddc65', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851bfdfcd322c873b5bd5eddc65', 'width': 64}]",300 Original Motion Picture Soundtrack (U.S. Version),2007-03-05,day,25.0,album,spotify:album:2MhORIIiEX9gE51YVlTzKO,https://open.spotify.com/album/2MhORIIiEX9gE51YVlTzKO,tt0416449
0,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6quKdQHmx2x7FBJwLhmpmB'}, 'href': 'https://api.spotify.com/v1/artists/6quKdQHmx2x7FBJwLhmpmB', 'id': '6quKdQHmx2x7FBJwLhmpmB', 'name': 'Gabriel Yared', 'type': 'artist', 'uri': 'spotify:artist:6quKdQHmx2x7FBJwLhmpmB'}]",https://api.spotify.com/v1/albums/51C0M5HRIAgFyy5UhTEav7,51C0M5HRIAgFyy5UhTEav7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736d8d61ea835cd9051a16414a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026d8d61ea835cd9051a16414a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516d8d61ea835cd9051a16414a', 'width': 64}]",1408 (Original Motion Picture Soundtrack),2007-01-01,day,16.0,album,spotify:album:51C0M5HRIAgFyy5UhTEav7,https://open.spotify.com/album/51C0M5HRIAgFyy5UhTEav7,tt0450385
0,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",https://api.spotify.com/v1/albums/4eW9tiv7GCl6CcS3i08J6m,4eW9tiv7GCl6CcS3i08J6m,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bad1755386fd9c9dedafcedb', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02bad1755386fd9c9dedafcedb', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851bad1755386fd9c9dedafcedb', 'width': 64}]",The Dark Soundtrack 2012 (Symphonic Orchestra & Choir),2011-11-11,day,18.0,album,spotify:album:4eW9tiv7GCl6CcS3i08J6m,https://open.spotify.com/album/4eW9tiv7GCl6CcS3i08J6m,tt1190080
0,compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",https://api.spotify.com/v1/albums/3EnOwzB0GDpmVlEzJhOmNR,3EnOwzB0GDpmVlEzJhOmNR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d4c64264cb63b6bee8884052', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d4c64264cb63b6bee8884052', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d4c64264cb63b6bee8884052', 'width': 64}]",10 Things I Hate About You (Original Motion Picture Soundtrack),1999-04-06,day,14.0,album,spotify:album:3EnOwzB0GDpmVlEzJhOmNR,https://open.spotify.com/album/3EnOwzB0GDpmVlEzJhOmNR,tt0147800
0,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6dU7gPN2BhEPfO5QHLt7es'}, 'href': 'https://api.spotify.com/v1/artists/6dU7gPN2BhEPfO5QHLt7es', 'id': '6dU7gPN2BhEPfO5QHLt7es', 'name': 'Lorne Balfe', 'type': 'artist', 'uri': 'spotify:artist:6dU7gPN2BhEPfO5QHLt7es'}]",https://api.spotify.com/v1/albums/3cpoUgwUKrDQ0kCvxJIf8b,3cpoUgwUKrDQ0kCvxJIf8b,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f8225ea220f43c77112b8dfc', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f8225ea220f43c77112b8dfc', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f8225ea220f43c77112b8dfc', 'width': 64}]",12 Strong (Original Motion Picture Soundtrack),2018-01-12,day,19.0,album,spotify:album:3cpoUgwUKrDQ0kCvxJIf8b,https://open.spotify.com/album/3cpoUgwUKrDQ0kCvxJIf8b,tt1413492
0,compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",https://api.spotify.com/v1/albums/1cInbcKRuvIvW8pj9daIJU,1cInbcKRuvIvW8pj9daIJU,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732214c024f27aea21ee48ab75', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022214c024f27aea21ee48ab75', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512214c024f27aea21ee48ab75', 'width': 64}]",2 Fast 2 Furious (Soundtrack),2003-01-01,day,17.0,album,spotify:album:1cInbcKRuvIvW8pj9daIJU,https://open.spotify.com/album/1cInbcKRuvIvW8pj9daIJU,tt0322259
0,single,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/75N2nC2KNgaQ1e6bGs0wyc'}, 'href': 'https://api.spotify.com/v1/artists/75N2nC2KNgaQ1e6bGs0wyc', 'id': '75N2nC2KNgaQ1e6bGs0wyc', 'name': 'Paradox Interactive', 'type': 'artist', 'uri': 'spotify:artist:75N2nC2KNgaQ1e6bGs0wyc'}]",https://api.spotify.com/v1/albums/6D82naQPB2ZECUEaPODrqi,6D82naQPB2ZECUEaPODrqi,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273edf9ec7e8209e480106579ed', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02edf9ec7e8209e480106579ed', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851edf9ec7e8209e480106579ed', 'width': 64}]","Europa Universalis IV: Guns, Drums and Steel Vol.2 (Original Expansion Soundtrack)",2015-02-26,day,5.0,album,spotify:album:6D82naQPB2ZECUEaPODrqi,https://open.spotify.com/album/6D82naQPB2ZECUEaPODrqi,tt1272878
