type,uri,external_urls.spotify,movieid,year,title
album,spotify:album:0047X5dvfUO2PeWF3utR1Q,https://open.spotify.com/album/0047X5dvfUO2PeWF3utR1Q,tt6924650,2019,Midway
album,spotify:album:009d83fu2guwouIwqr7i9E,https://open.spotify.com/album/009d83fu2guwouIwqr7i9E,tt0298148,2004,Shrek 2
album,spotify:album:01wn5MrXTUWjdYTLYC2wqU,https://open.spotify.com/album/01wn5MrXTUWjdYTLYC2wqU,tt0363771,2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
album,spotify:album:02fC1zrM190lj46sEnBbVk,https://open.spotify.com/album/02fC1zrM190lj46sEnBbVk,tt0844471,2009,Cloudy with a Chance of Meatballs
album,spotify:album:02gcOu5jHffPVvKXapzUSq,https://open.spotify.com/album/02gcOu5jHffPVvKXapzUSq,tt0433387,2006,Harsh Times
album,spotify:album:02GEKxoVe5ITAj68mZRAM7,https://open.spotify.com/album/02GEKxoVe5ITAj68mZRAM7,tt7131622,2019,Once Upon a Time... in Hollywood
album,spotify:album:02Jk1LLUyRNSvdj2hr1eky,https://open.spotify.com/album/02Jk1LLUyRNSvdj2hr1eky,tt0491152,2011,Something Borrowed
album,spotify:album:02VRifrsiTM73hPGjXduRQ,https://open.spotify.com/album/02VRifrsiTM73hPGjXduRQ,tt2980516,2014,The Theory of Everything
album,spotify:album:03ayxHF1nibS7OBP5OgAGU,https://open.spotify.com/album/03ayxHF1nibS7OBP5OgAGU,tt0387514,2005,Prime
album,spotify:album:03JyRdIko8sx1jmnrMFd0r,https://open.spotify.com/album/03JyRdIko8sx1jmnrMFd0r,tt0479884,2006,Crank
album,spotify:album:04JBTbuVBUYTIdWfaf2ctz,https://open.spotify.com/album/04JBTbuVBUYTIdWfaf2ctz,tt0471042,2011,Tower Heist
album,spotify:album:04rz93AqGy9JduzV3K81Dh,https://open.spotify.com/album/04rz93AqGy9JduzV3K81Dh,tt0120737,2001,The Lord of the Rings: The Fellowship of the Ring
album,spotify:album:04zVKTeZ5tXOo6KLWrrl3h,https://open.spotify.com/album/04zVKTeZ5tXOo6KLWrrl3h,tt1979320,2013,Rush
album,spotify:album:05mGEilOTDTd9Z9F8XguEy,https://open.spotify.com/album/05mGEilOTDTd9Z9F8XguEy,tt4560436,2018,Mile 22
album,spotify:album:05RzhgEEcsjQcFPJ4w7xSI,https://open.spotify.com/album/05RzhgEEcsjQcFPJ4w7xSI,tt4558376,2020,Downhill
album,spotify:album:06KaiiRU6ouafBHCM8wPHU,https://open.spotify.com/album/06KaiiRU6ouafBHCM8wPHU,tt9206798,2019,All Is True
album,spotify:album:06nxUohwdP0cmqxMRfDf5F,https://open.spotify.com/album/06nxUohwdP0cmqxMRfDf5F,tt0377062,2004,Flight of the Phoenix
album,spotify:album:07h0M8hRiyzfxpQ2yLPwsQ,https://open.spotify.com/album/07h0M8hRiyzfxpQ2yLPwsQ,tt0104765,1993,Love Field
album,spotify:album:07i90t8l9cUO9lFadyRhuy,https://open.spotify.com/album/07i90t8l9cUO9lFadyRhuy,tt0780536,2008,In Bruges
album,spotify:album:07igNBjUqmgregGtDpnTNg,https://open.spotify.com/album/07igNBjUqmgregGtDpnTNg,tt0790686,2008,Mirrors
album,spotify:album:08FMYTikWTv7UBhetbZuw7,https://open.spotify.com/album/08FMYTikWTv7UBhetbZuw7,tt0465551,2007,Notes on a Scandal
album,spotify:album:08n7ViKJPai5AJcrzHRBOw,https://open.spotify.com/album/08n7ViKJPai5AJcrzHRBOw,tt1057500,2009,Invictus
album,spotify:album:09FSSPygQhRkbsvc90CT2f,https://open.spotify.com/album/09FSSPygQhRkbsvc90CT2f,tt0451069,2005,The Gospel
album,spotify:album:0A225MVeVakfleFwa0hZlv,https://open.spotify.com/album/0A225MVeVakfleFwa0hZlv,tt0327056,2003,Mystic River
album,spotify:album:0AFO1wkqngzsxZHtKG2zaX,https://open.spotify.com/album/0AFO1wkqngzsxZHtKG2zaX,tt0435651,2014,The Giver
album,spotify:album:0aP3QLAZC7XeaVu9262lz3,https://open.spotify.com/album/0aP3QLAZC7XeaVu9262lz3,tt1034032,2009,Gamer
album,spotify:album:0ArycFm7tjPX9O6tCc99v1,https://open.spotify.com/album/0ArycFm7tjPX9O6tCc99v1,tt0419706,2005,Doom
album,spotify:album:0b30gpKBw7uuza0x2svosd,https://open.spotify.com/album/0b30gpKBw7uuza0x2svosd,tt7390646,2019,Black and Blue
album,spotify:album:0BClgKzpi6YhuXeTIAoeDm,https://open.spotify.com/album/0BClgKzpi6YhuXeTIAoeDm,tt3778644,2018,Solo: A Star Wars Story
album,spotify:album:0bDXd7IS80PviZzTNUvZyz,https://open.spotify.com/album/0bDXd7IS80PviZzTNUvZyz,tt0252028,2004,Surviving Christmas
album,spotify:album:0bipltvuo50y7Bd3eYj2HM,https://open.spotify.com/album/0bipltvuo50y7Bd3eYj2HM,tt0120576,1998,Dance with Me
album,spotify:album:0bmoZ8zUbNUwwrjtCEh3LI,https://open.spotify.com/album/0bmoZ8zUbNUwwrjtCEh3LI,tt0104804,1992,Man Trouble
album,spotify:album:0C8pr3dnMPistlH58MkMc4,https://open.spotify.com/album/0C8pr3dnMPistlH58MkMc4,tt0422720,2006,Marie Antoinette
album,spotify:album:0CcL28OkH89kjgKpNZC8sW,https://open.spotify.com/album/0CcL28OkH89kjgKpNZC8sW,tt0780521,2009,The Princess and the Frog
album,spotify:album:0CgTKS2HmWc3JeI9Fit2vX,https://open.spotify.com/album/0CgTKS2HmWc3JeI9Fit2vX,tt0408236,2007,Sweeney Todd: The Demon Barber of Fleet Street
album,spotify:album:0cSRb2nHHTWU7ab7tuIwpw,https://open.spotify.com/album/0cSRb2nHHTWU7ab7tuIwpw,tt0389557,2007,Black Book
album,spotify:album:0CYOa6nXTXUQvGU30YEJmb,https://open.spotify.com/album/0CYOa6nXTXUQvGU30YEJmb,tt1204977,2014,Ouija
album,spotify:album:0d1bH3CL2r5ZpzoKyFrvpT,https://open.spotify.com/album/0d1bH3CL2r5ZpzoKyFrvpT,tt0775552,2009,Aliens in the Attic
album,spotify:album:0D34ap9HK0SWAS0VS3h6Hi,https://open.spotify.com/album/0D34ap9HK0SWAS0VS3h6Hi,tt1396218,2011,Mr. Popper's Penguins
album,spotify:album:0dB9IqSTwRiK6MkkbCOZTS,https://open.spotify.com/album/0dB9IqSTwRiK6MkkbCOZTS,tt0211443,2002,Jason X
album,spotify:album:0dmu8w9avy1mol3wXyL4zg,https://open.spotify.com/album/0dmu8w9avy1mol3wXyL4zg,tt1142977,2012,Frankenweenie
album,spotify:album:0DOdZR292JeHI6k1T9lYFd,https://open.spotify.com/album/0DOdZR292JeHI6k1T9lYFd,tt0265208,2004,The Girl Next Door
album,spotify:album:0DydRhLzDe98pdDgESN7jI,https://open.spotify.com/album/0DydRhLzDe98pdDgESN7jI,tt0115678,1996,Big Night
album,spotify:album:0E5Q7isRCDwXmlZKAbVQfG,https://open.spotify.com/album/0E5Q7isRCDwXmlZKAbVQfG,tt8688634,2019,21 Bridges
album,spotify:album:0EbbjKecJPipdznbcadKa2,https://open.spotify.com/album/0EbbjKecJPipdznbcadKa2,tt1139668,2009,The Unborn
album,spotify:album:0EFxoMJLiMywlAYgVQiaTE,https://open.spotify.com/album/0EFxoMJLiMywlAYgVQiaTE,tt2024469,2014,Non-Stop
album,spotify:album:0eL17Zd3jeu2c49jbw46uq,https://open.spotify.com/album/0eL17Zd3jeu2c49jbw46uq,tt0115644,1996,Bed of Roses
album,spotify:album:0eo399zmUi2EZkSiusSrd2,https://open.spotify.com/album/0eo399zmUi2EZkSiusSrd2,tt0804522,2007,Rendition
album,spotify:album:0EovEsQRlsdnqbZ9veRCqW,https://open.spotify.com/album/0EovEsQRlsdnqbZ9veRCqW,tt0397044,2007,Blood and Chocolate
album,spotify:album:0EPfDIHyAwEOto67m04NrI,https://open.spotify.com/album/0EPfDIHyAwEOto67m04NrI,tt0988047,2008,Traitor
album,spotify:album:0EQtyNVSbgHnYmobuy6vsn,https://open.spotify.com/album/0EQtyNVSbgHnYmobuy6vsn,tt0880578,2008,Untraceable
album,spotify:album:0fKqrDrlvm93uQXf0j6Nsn,https://open.spotify.com/album/0fKqrDrlvm93uQXf0j6Nsn,tt0178737,1999,Mansfield Park
album,spotify:album:0G8f6145VaFxFDq9vBida1,https://open.spotify.com/album/0G8f6145VaFxFDq9vBida1,tt1186367,2009,Ninja Assassin
album,spotify:album:0gACZTWwaVysx9EvTdY8ot,https://open.spotify.com/album/0gACZTWwaVysx9EvTdY8ot,tt1846589,2018,Hunter Killer
album,spotify:album:0gJWChOVkVRgZCK09irLOk,https://open.spotify.com/album/0gJWChOVkVRgZCK09irLOk,tt1663662,2013,Pacific Rim
album,spotify:album:0gOY2T9pkbW1U4psiGezcw,https://open.spotify.com/album/0gOY2T9pkbW1U4psiGezcw,tt2034139,2013,The Last Exorcism Part II
album,spotify:album:0GWvxTcQnpZMKP73VsVxpF,https://open.spotify.com/album/0GWvxTcQnpZMKP73VsVxpF,tt0112851,1995,Desperado
album,spotify:album:0HEVloWEHtxUzeDPN1ZHLr,https://open.spotify.com/album/0HEVloWEHtxUzeDPN1ZHLr,tt0169547,1999,American Beauty
album,spotify:album:0HUTgoqdJ0ksbU2512TD2e,https://open.spotify.com/album/0HUTgoqdJ0ksbU2512TD2e,tt4807408,2019,The Best of Enemies
album,spotify:album:0hy5guhMnZVJqPbnBxCqfV,https://open.spotify.com/album/0hy5guhMnZVJqPbnBxCqfV,tt0102428,1991,Meeting Venus
album,spotify:album:0I6Bl1dVB1hQsSoQF6KuTg,https://open.spotify.com/album/0I6Bl1dVB1hQsSoQF6KuTg,tt1707386,2012,Les Misérables
album,spotify:album:0i78OYJNtQvhQUnsYzFj8f,https://open.spotify.com/album/0i78OYJNtQvhQUnsYzFj8f,tt2097298,2015,"McFarland, USA"
album,spotify:album:0Is3ppMOgWNZtV4NZNQWyA,https://open.spotify.com/album/0Is3ppMOgWNZtV4NZNQWyA,tt1872194,2014,The Judge
album,spotify:album:0j5a1UrCLIjY1oDgo8aWDq,https://open.spotify.com/album/0j5a1UrCLIjY1oDgo8aWDq,tt0376196,2007,Slow Burn
album,spotify:album:0jFPA4rHrGzPqMaer1Nmfj,https://open.spotify.com/album/0jFPA4rHrGzPqMaer1Nmfj,tt3181822,2015,The Boy Next Door
album,spotify:album:0JGQ10jlljiXEguqGbMiYU,https://open.spotify.com/album/0JGQ10jlljiXEguqGbMiYU,tt1253863,2014,300: Rise of an Empire
album,spotify:album:0JjBO2WnSE6pjK4TC9Jci2,https://open.spotify.com/album/0JjBO2WnSE6pjK4TC9Jci2,tt7424200,2018,Teen Titans GO! to the Movies
album,spotify:album:0jnKhPySaa5MOd7GT2VgD3,https://open.spotify.com/album/0jnKhPySaa5MOd7GT2VgD3,tt0758730,2007,Aliens vs. Predator: Requiem
album,spotify:album:0JpjCzcNmL7tLWJCYGlGOG,https://open.spotify.com/album/0JpjCzcNmL7tLWJCYGlGOG,tt0790628,2013,The Incredible Burt Wonderstone
album,spotify:album:0jwl6NA2hCUfUKyIsZ1Din,https://open.spotify.com/album/0jwl6NA2hCUfUKyIsZ1Din,tt0765447,2007,Evening
album,spotify:album:0KM3TobinpILpOzasnQiMt,https://open.spotify.com/album/0KM3TobinpILpOzasnQiMt,tt0300556,2003,Timeline
album,spotify:album:0KSauWzFg5NWRNIsmod55w,https://open.spotify.com/album/0KSauWzFg5NWRNIsmod55w,tt0099423,1990,Die Hard 2
album,spotify:album:0KslRXuXuGxQ3q7bmYDnAI,https://open.spotify.com/album/0KslRXuXuGxQ3q7bmYDnAI,tt2167202,2013,Getaway
album,spotify:album:0Kxp1R1sZgx2cAFUa8GGwm,https://open.spotify.com/album/0Kxp1R1sZgx2cAFUa8GGwm,tt0432021,2007,Resident Evil: Extinction
album,spotify:album:0l0ANb60u7JVA7qslUZyZz,https://open.spotify.com/album/0l0ANb60u7JVA7qslUZyZz,tt0117002,1996,Mary Reilly
album,spotify:album:0L2WN9LAyXX4ESG8BcDmPc,https://open.spotify.com/album/0L2WN9LAyXX4ESG8BcDmPc,tt0980970,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader
