,link,enum,tags,Duration,Views,Posted On,Director,Writer,Studio,Release,Cast,Song1,Artist1,Song2,Artist2,Song3,Artist3,Song4,Artist4,Song5,Artist5,Song6,Artist6
114,/the-bodyguard/trailer,114,Warner Bros. Pictures|Romance|Thriller|Drama|Musical|Kevin Costner|Whitney Houston|Gary Kemp|Bill Cobbs|Ralph Waite|Tomas Arana|Michele Lamar Richards|Mike Starr|DeVaughn Nixon,1 min 56 sec,"43,727",13-Jan-14,Mick Jackson,Lawrence Kasdan,Warner Bros Pictures,25-Nov-92,Kevin Costner;Whitney Houston;Gary Kemp;Bill Cobbs;Ralph Waite,I Have Nothing,Whitney Houston,,,,,,,,,,
184,/pulp-fiction/trailer,184,Miramax Films|Crime|Drama|John Travolta|Samuel L. Jackson|Uma Thurman|Bruce Willis|Harvey Keitel|Tim Roth|Amanda Plummer|Maria de Medeiros|Ving Rhames|Eric Stoltz|Rosanna Arquette|Christopher Walken,2 min 41 sec,"133,550",10-Jun-09,Quentin Tarantino,Quentin Tarantino,Miramax Films,14-Oct-94,John Travolta;Samuel L. Jackson;Uma Thurman;Bruce Willis;Harvey Keitel,Misirlou,Dick Dale and the Del-Tones,"Girl, You'll Be A Woman Soon",Urge Overkill,Jungle Boogie,Kool & the Gang,,,,,,
218,/the-baby-sitters-club/trailer,218,Columbia Pictures|Comedy|Drama|Family|Book|Schuyler Fisk|Bre Blair|Tricia Joe|Rachael Leigh Cook|Larisa Oleynik|Stacy Linn Ramsower|Zelda Harris,2 min 0 sec,"11,607",16-Feb-14,Melanie Mayron,Ann M. Martin (book),Columbia Pictures,18-Aug-95,Schuyler Fisk;Bre Blair;Tricia Joe;Rachael Leigh Cook;Larisa Oleynik,Dreams,The Cranberries,,,,,,,,,,
352,/bulworth/trailer,352,20th Century Fox|Comedy|Drama|Romance|Warren Beatty|Halle Berry|Oliver Platt|Don Cheadle|Paul Sorvino|Jack Warden|Isaiah Washington,1 min 44 sec,"7,130",20-May-14,Warren Beatty,Warren Beatty,20th Century Fox,15-May-98,Warren Beatty;Halle Berry;Oliver Platt;Don Cheadle;Paul Sorvino,Insane In The Membrane,Cypress Hill,,,,,,,,,,
385,/a-bugs-life/trailer,385,Pixar Animation|Walt Disney Pictures|CG Animation|Family|Dave Foley|Denis Leary|Kevin Spacey|Phyllis Diller|Brad Garrett|Jonathan Harris,2 min 37 sec,"75,082",18-Jan-09,John Lasseter,John Lassetter,Pixar Disney,25-Nov-98,Dave Foley;Kevin Spacey;Julia Louis-Dreyfus;Hayden Panettiere;Phyllis Diller,Baba O'Riley,The Who,Waterworld Theme,James Newton Howard,,,,,,,,
402,/message-in-a-bottle/trailer,402,Warner Bros. Pictures|Drama|Romance|Book|Kevin Costner|Robin Wright|Paul Newman|John Savage|Illeana Douglas|Robbie Coltrane,2 min 23 sec,"2,916",19-Sep-16,Luis Mandoki,Nicholas Sparks,Warner Bros Pictures,12-Feb-99,Kevin Costner;Robin Wright;Paul Newman;John Savage;Illeana Douglas,Torn,Natalie Imbruglia,,,,,,,,,,
424,/eyes-wide-shut/feature-trailer,424,Warner Bros. Pictures|Drama|Mystery|Romance|Tom Cruise|Nicole Kidman|Sydney Pollack|Leelee Sobieski|Marie Richardson|Rade Serbedzija|Todd Field|Vinessa Shaw|Sky du Mont|Fay Masterson,1 min 3 sec,"53,458",22-Nov-14,Stanley Kubrick,Stanley Kubrick,Warner Bros Pictures,16-Jul-99,Tom Cruise;Nicole Kidman;Sydney Pollack;Marie Richardson;Rade Serbedzija,Baby Did a Bad Bad Thing,Chris Isaak,,,,,,,,,,
425,/eyes-wide-shut/trailer,425,Warner Bros. Pictures|Drama|Mystery|Romance|Tom Cruise|Nicole Kidman|Sydney Pollack|Leelee Sobieski,1 min 35 sec,"5,254",22-Nov-14,Stanley Kubrick,Stanley Kubrick,Warner Bros Pictures,16-Jul-99,Tom Cruise;Nicole Kidman;Sydney Pollack;Marie Richardson;Rade Serbedzija,Baby Did a Bad Bad Thing,Chris Isaak,,,,,,,,,,
457,/magnolia/trailer,457,New Line Cinema|Drama|Jeremy Blackman|Michael Bowen|Tom Cruise|Melinda Dillon|Henry Gibson|April Grace|Philip Baker Hall|Philip Seymour Hoffman|William H. Macy|Julianne Moore|John C. Reilly|Jason Robards|Melora Walters,2 min 49 sec,"127,875",5-Jan-10,Paul Thomas Anderson,Paul Thomas Anderson,New Line Cinema,7-Jan-00,Jeremy Blackman;Michael Bowen;Tom Cruise;Melinda Dillon;Henry Gibson,Momentum,Aimee Mann,,,,,,,,,,
458,/magnolia/teaser-trailer,458,New Line Cinema|Drama|Teaser|Jeremy Blackman|Tom Cruise|Henry Gibson|April Grace|Philip Baker Hall|Philip Seymour Hoffman|William H. Macy|Julianne Moore|John C. Reilly|Jason Robards|Melora Walters,1 min 5 sec,"12,790",5-Jan-10,Paul Thomas Anderson,Paul Thomas Anderson,New Line Cinema,7-Jan-00,Jeremy Blackman;Michael Bowen;Tom Cruise;Melinda Dillon;Henry Gibson,Momentum,Aimee Mann,,,,,,,,,,
569,/behind-enemy-lines/trailer,569,20th Century Fox|Action|War|Owen Wilson|Gabriel Macht|Gene Hackman|Joaquim De Almeida|Vladimir Mashkov|David Keith|Olek Krupa,2 min 27 sec,"53,040",7-Jan-09,John Moore,Jim Thomas,20th Century Fox,30-Nov-01,Owen Wilson;Gene Hackman;Vladimir Mashkov;Joaquim de Almeida;David Keith,Hey Man Nice Shot,Filter,Code Red,Immediate Music,,,,,,,,
580,/black-hawk-down/teaser-trailer,580,Columbia Pictures|Historical|Action|Drama|War|Teaser|Josh Hartnett|Tom Sizemore|Ewan McGregor|Sam Shepard,1 min 30 sec,"109,134",5-Jul-09,Ridley Scott,Mark Bowden,Columbia Pictures,18-Jan-02,Tom Sizemore;Josh Hartnett;Ewan McGregor;Eric Bana;Sam Shepard,Knockin' On Heaven's Door,Bob Dylan,,,,,,,,,,
802,/pirates-curse-black-pearl/trailer,802,Walt Disney Pictures|Action|Adventure|Fantasy|Franchise/Epic/Trilogy|Johnny Depp|Geoffrey Rush|Orlando Bloom|Keira Knightley|Jack Davenport,2 min 51 sec,"251,936",19-Nov-07,Gore Verbinski,Ted Elliott,Walt Disney Pictures,9-Jul-03,Orlando Bloom;Johnny Depp;Geoffrey Rush;Keira Knightley;Jack Davenport,Voices of War,X-Ray Dog,,,,,,,,,,
806,/bad-boys-ii/trailer,806,Columbia Pictures|Action|Suspense|Martin Lawrence|Will Smith|Joe Pantoliano|Henry Rollins,2 min 13 sec,"42,801",18-Jan-09,Michael Bay,Ron Shelton,Columbia Pictures,18-Jul-03,Martin Lawrence;Will Smith;Jordi Moll?;Gabrielle Union;Peter Stormare,Race Wars,BT,,,,,,,,,,
838,/anything-else/trailer,838,DreamWorks Pictures|Comedy|Romance|Jason Biggs|Christina Ricci,2 min 30 sec,"69,595",9-Jul-09,Woody Allen,Woody Allen,DreamWorks Pictures,19-Sep-03,Woody Allen;Christina Ricci;Jason Biggs;Stockard Channing;Glenn Close,The Look of Love,Diana Krall,"Sugar Pie, Honey Bunch",The Four Tops,,,,,,,,
946,/connie-and-carla/trailer,946,Universal Pictures|Comedy|Nia Vardalos|Toni Collette|David Duchovny,2 min 16 sec,"22,509",14-Apr-09,Michael Lembeck,Nia Vardalos,Universal Pictures,16-Apr-04,Nia Vardalos;Toni Collette;Stephen Spinella;Dash Mihok;David Duchovny,The Rockafeller Skank,Fatboy Slim,,,,,,,,,,
997,/harold-kumar/trailer,997,New Line Cinema|Comedy|Kal Penn|John Cho|Neil Patrick Harris|Malin Akerman|Paula Garcés|Ryan Reynolds|Anthony Anderson,2 min 18 sec,"47,784",26-Nov-07,Danny Leiner,Jon Hurwitz,New Line Cinema,30-Jul-04,Kal Penn;John Cho;Christopher Meloni;Neil Patrick Harris;David Krumholtz,Let's Get Retarded,Black Eyed Peas,Right Now,SR-71,,,,,,,,
1041,/friday-night-lights/trailer,1041,Universal Pictures|Sport|Drama|Billy Bob Thornton|Jay Hernandez|Tim McGraw|Lucas Black|Derek Luke|Lee Thompson Young|Connie Britton|Garrett Hedlund,2 min 23 sec,"85,870",17-Sep-07,Peter Berg,David Aaron Cohen,Universal Pictures,8-Oct-04,Billy Bob Thornton;Jay Hernandez;Tim McGraw;Lucas Black;Derek Luke,Until the Day I Die,Story of the Year,,,,,,,,,,
1176,/the-island/trailer,1176,DreamWorks Pictures|Action|Sci Fi|Thriller|Ewan McGregor|Scarlett Johansson|Steve Buscemi|Sean Bean|Djimon Hounsou|Michael Clarke Duncan|Noa Tishby,2 min 22 sec,"69,515",20-Jan-09,Michael Bay,Caspian Tredwell-Owen,DreamWorks Pictures,22-Jul-05,Ewan McGregor;Scarlett Johansson;Djimon Hounsou;Michael Clarke Duncan;Steve Buscemi,Snow Falling on Cedars,James Newton Howard,Insomnia (Elektra OST),Christophe Beck,Lucius Dei,Immediate Music,,,,,,
1177,/the-island/teaser-trailer,1177,DreamWorks Pictures|Action|Sci Fi|Thriller|Teaser|Ewan McGregor|Scarlett Johansson|Steve Buscemi|Sean Bean|Djimon Hounsou|Michael Clarke Duncan,2 min 4 sec,"18,867",20-Jan-09,Michael Bay,Caspian Tredwell-Owen,DreamWorks Pictures,22-Jul-05,Ewan McGregor;Scarlett Johansson;Djimon Hounsou;Michael Clarke Duncan;Steve Buscemi,Lucius Dei,Immediate Music,,,,,,,,,,
1201,/corpse-bride/trailer,1201,Warner Bros. Pictures|Stop Motion Animation|Johnny Depp|Helena Bonham Carter|Emily Watson,2 min 1 sec,"82,670",19-Jan-09,Michael Johnson,Caroline Thompson,Warner Bros Pictures,16-Sep-05,Johnny Depp;Helena Bonham Carter;Emily Watson;Albert Finney;Richard Grant,The Baudelaire Orphans (Lemony Snicket's OST),Thomas Newman,Theme Montage (Nightmare Before Christmas OST),Danny Elfman,Water Pistol Attack (Addicted to Love OST),Rachel Portman,The Stepford Wives,David Arnold,,,,
1202,/corpse-bride/teaser-trailer,1202,Warner Bros. Pictures|Teaser|Stop Motion Animation|Johnny Depp|Helena Bonham Carter|Emily Watson,1 min 21 sec,"18,017",19-Jan-09,Michael Johnson,Caroline Thompson,Warner Bros Pictures,16-Sep-05,Johnny Depp;Helena Bonham Carter;Emily Watson;Albert Finney;Richard Grant,In the Hall of the Mountain King,Edvard Grieg,,,,,,,,,,
1246,/harry-potter-goblet-fire/trailer,1246,Warner Bros. Pictures|Franchise/Epic/Trilogy|Book|Adventure|Fantasy|Daniel Radcliffe|Rupert Grint|Emma Watson|Michael Gambon|Stanislav Ianevski|Robert Pattinson|Clémence Poésy|Katie Leung|Maggie Smith|Brendan Gleeson|Alan Rickman|Timothy Spall|Miranda Richardson|Ralph Fiennes,2 min 21 sec,"126,361",28-Aug-08,Mike Newell,Steven Kloves,Warner Bros Pictures,18-Nov-05,Daniel Radcliffe;Rupert Grint;Emma Watson;Tom Felton;Matthew Lewis,Prince of Darkness,Immediate Music,,,,,,,,,,
