href,enum,date,link,title,getme,,release date,release_added_diff,
/tremors,0,23-Sep-12,/tremors/trailer,Trailer,x,1,1/19/1990,-8283,
/tremors,1,23-Sep-12,/tremors/trailer-b,Trailer B,0,1,1/19/1990,-8283,
/nightbreed,0,17-Oct-13,/nightbreed/feature-trailer,Feature Trailer,x,2,2/16/1990,-8644,
/nightbreed,1,19-Oct-07,/nightbreed/trailer,Trailer,x,2,2/16/1990,-6454,
/hunt-red-october,0,17-Sep-07,/hunt-red-october/trailer,Trailer,x,1,3/2/1990,-6408,
/joe-versus-the-volcano,0,25-Jun-09,/joe-versus-the-volcano/trailer,Trailer,x,1,3/9/1990,-7048,
/lambada,0,27-Dec-12,/lambada/trailer,Trailer,x,1,3/16/1990,-8322,
/a-shock-to-the-system,0,5-May-10,/a-shock-to-the-system/trailer,Trailer,x,1,3/23/1990,-7348,
/pretty-woman,0,22-Oct-07,/pretty-woman/trailer,Trailer,x,1,3/23/1990,-6422,
/teenage-mutant-ninja-turtles,0,24-Jun-14,/teenage-mutant-ninja-turtles/international-trailer,International Trailer,0,1,3/30/1990,-8852,
/teenage-mutant-ninja-turtles,1,24-Oct-07,/teenage-mutant-ninja-turtles/trailer,Trailer,x,1,3/30/1990,-6417,
/cry-baby,0,3-Mar-13,/cry-baby/trailer,Trailer,x,1,4/6/1990,-8367,
/back-to-the-future-part-iii,0,11-Oct-07,/back-to-the-future-part-iii/teaser-trailer,Teaser Trailer,x,2,5/25/1990,-6348,
/back-to-the-future-part-iii,1,11-Oct-07,/back-to-the-future-part-iii/trailer,Trailer,x,2,5/25/1990,-6348,
/fire-birds,0,28-Jun-14,/fire-birds/feature-trailer,Feature Trailer,x,2,5/25/1990,-8800,
/fire-birds,1,28-Jun-14,/fire-birds/trailer,Trailer,x,2,5/25/1990,-8800,
/total-recall,0,24-May-13,/total-recall/dvd-trailer,DVD Trailer,0,1,6/1/1990,-8393,
/total-recall,1,8-Jul-12,/total-recall/theatrical-trailer,Theatrical Trailer,0,1,6/1/1990,-8073,
/total-recall,2,25-Oct-07,/total-recall/trailer,Trailer,x,1,6/1/1990,-6355,
/48-hrs,0,9-Oct-07,/48-hrs/trailer,Trailer,x,1,6/8/1990,-6332,
