imdb_id,film_title,year,tradd_url,link,tags,filename,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
tt0848228,The Avengers,2012,/the-avengers,/the-avengers/feature-trailer,"Paramount Pictures|Marvel Studios|Action|Adventure|Comicbook|Samuel L. Jackson|Robert Downey, Jr.|Chris Evans|Chris Hemsworth|Jeremy Renner|Scarlett Johansson|Tom Hiddleston|Mark Ruffalo|Clark Gregg",the-avengers_feature-trailer,14.30769231,0.434923077,0.884384615,6.307692308,-4.498615385,0.461538462,0.064715385,0.001655769,0.000618504,0.260430769,0.374307692,132.0975385,4
tt0472033,9,2009,/9-feature,/9-feature/trailer,Focus Features|Action|CG Animation|Teaser|Remake,9-feature_trailer,,,,,,,,,,,,,
tt0472033,9,2009,/9-feature,/9-feature/feature-trailer,Focus Features|Action|CG Animation|Remake|Elijah Wood|Jennifer Connelly|Christopher Plummer,9-feature_feature-trailer,,,,,,,,,,,,,
tt0416449,300,2007,/300,/300/teaser-trailer,Warner Bros. Pictures|Action|Comicbook|Teaser|Gerard Butler|Lena Headey|David Wenham|Vincent Regan|Rodrigo Santoro|Dominic West,300_teaser-trailer,27.88,0.216224,0.34288,4.52,-15.4204,0.52,0.04144,0.4383164,0.779484,0.159076,0.090928,101.58944,3.4
tt1190080,2012,2009,/2012,/2012/trailer,Columbia Pictures|Action|Adventure|John Cusack|Amanda Peet|Chiwetel Ejiofor|Danny Glover|Thandie Newton|Oliver Platt|Thomas McCarthy|Woody Harrelson|Chin Han|Morgan Lily|Beatrice Rosen,2012_trailer,0.315789474,0.480315789,0.769105263,6.421052632,-7.943105263,0.526315789,0.059563158,0.100042632,0.263749971,0.233857895,0.348726316,128.0495263,4
tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/trailer,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|Chloë Grace Moretz,500-days-of-summer_trailer,,,,,,,,,,,,,
tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/teaser-trailer,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|Chloë Grace Moretz,500-days-of-summer_teaser-trailer,,,,,,,,,,,,,
tt2024544,12 Years a Slave,2013,/12-years-a-slave,/12-years-a-slave/trailer,Fox Searchlight|Drama|Biopic|Chiwetel Ejiofor|Michael Fassbender|Benedict Cumberbatch|Paul Dano|Paul Giamatti|Lupita Nyong'o|Sarah Paulson|Brad Pitt|Alfre Woodard|Scoot McNairy,12-years-a-slave_trailer,,,,,,,,,,,,,
tt2172934,3 Days to Kill,2014,/3-days-to-kill,/3-days-to-kill/trailer,Relativity Media|Thriller|Action|Kevin Costner|Amber Heard|Hailee Steinfeld|Connie Nielsen,3-days-to-kill_trailer,,,,,,,,,,,,,
tt0120623,A Bug's Life,1998,/a-bugs-life,/a-bugs-life/trailer,Pixar Animation|Walt Disney Pictures|CG Animation|Family|Dave Foley|Denis Leary|Kevin Spacey|Phyllis Diller|Brad Garrett|Jonathan Harris,a-bugs-life_trailer,,,,,,,,,,,,,
tt0405296,A Scanner Darkly,2006,/scanner-darkly,/scanner-darkly/teaser-trailer,"Warner Independent|Keanu Reeves|Robert Downey, Jr.|Woody Harrelson|Winona Ryder|Rory Cochrane|Animation",scanner-darkly_teaser-trailer,2.090909091,0.340063636,0.453159091,5.727272727,-11.58868182,0.636363636,0.079640909,0.522006364,0.638073682,0.185872727,0.179313636,96.66804545,3.954545455
tt1091722,Adventureland,2009,/adventureland,/adventureland/trailer,Miramax Films|Comedy|Jesse Eisenberg|Ryan Reynolds|Kristen Stewart|Bill Hader|Kristen Wiig|South by Southwest Film Festival,adventureland_trailer,1.571428571,0.477785714,0.726071429,4.5,-6.401,0.857142857,0.050042857,0.205222786,0.065772574,0.175828571,0.539714286,119.638,4
tt0881891,All About Steve,2009,/all-about-steve,/all-about-steve/trailer,20th Century Fox|Comedy|Sandra Bullock|Thomas Haden Church|Bradley Cooper|Sara Sanderson|Katy Mixon|Ken Jeong|M.C. Gainey|Keith David,all-about-steve_trailer,,,,,,,,,,,,,
tt0426883,Alpha Dog,2007,/alpha-dog,/alpha-dog/trailer,Drama|Universal Pictures|Ben Foster|Shawn Hatosy|Emile Hirsch|Chris Marquette|Sharon Stone|Justin Timberlake|Anton Yelchin|Bruce Willis,alpha-dog_trailer,,,,,,,,,,,,,
tt1823664,Annie,2014,/annie-2014,/annie-2014/feature-trailer,Sony Pictures|Comedy|Drama|Family|Musical/Broadway/Play|Remake|Jamie Foxx|Quvenzhané Wallis|Rose Byrne|Bobby Cannavale|Adewale Akinnuoye-Agbaje|David Zayas|Cameron Diaz|Musical,annie-2014_feature-trailer,42.73333333,0.5012,0.659333333,5.6,-6.1772,0.8,0.053126667,0.249247333,0.057796723,0.178953333,0.502,121.2162,4.066666667
tt1823664,Annie,2014,/annie-2014,/annie-2014/trailer,Sony Pictures|Comedy|Drama|Family|Musical/Broadway/Play|Remake|Jamie Foxx|Quvenzhané Wallis|Rose Byrne|Bobby Cannavale|Adewale Akinnuoye-Agbaje|David Zayas|Cameron Diaz|Musical,annie-2014_trailer,42.73333333,0.5012,0.659333333,5.6,-6.1772,0.8,0.053126667,0.249247333,0.057796723,0.178953333,0.502,121.2162,4.066666667
tt0313792,Anything Else,2003,/anything-else,/anything-else/trailer,DreamWorks Pictures|Comedy|Romance|Jason Biggs|Christina Ricci,anything-else_trailer,,,,,,,,,,,,,
tt1024648,Argo,2012,/argo,/argo/trailer,Warner Bros. Pictures|Drama|Thriller|Ben Affleck|Alan Arkin|Bryan Cranston|John Goodman|Kerry Bishé|Kyle Chandler|Rory Cochrane|Christopher Denham|Tate Donovan|Clea DuVall|Victor Garber,argo_trailer,10.41176471,0.355164706,0.193476471,6.058823529,-23.239,0.764705882,0.040364706,0.502,0.784717647,0.106041176,0.106429412,107.3915294,3.764705882
tt0375568,Astro Boy,2009,/astro-boy,/astro-boy/teaser-trailer,Summit Entertainment|Adventure|CG Animation|Television|Teaser,astro-boy_teaser-trailer,,,,,,,,,,,,,
tt0783233,Atonement,2008,/atonement,/atonement/trailer,Focus Features|Drama|Romance|Keira Knightley|James McAvoy|Romola Garai|Vanessa Redgrave|Brenda Blethyn,atonement_trailer,,,,,,,,,,,,,
tt1322269,August: Osage County,2014,/august-osage-county,/august-osage-county/feature-trailer,The Weinstein Company|Musical/Broadway/Play|Comedy|Drama|Meryl Streep|Julia Roberts|Ewan McGregor|Benedict Cumberbatch|Margo Martindale|Chris Cooper|Sam Shepard|Misty Upham|Juliette Lewis|Abigail Breslin|Dermot Mulroney|Julianne Nicholson|Newell Alexander,august-osage-county_feature-trailer,,,,,,,,,,,,,
