,imdb_id,film_title,year,tradd_url,link,tags,filename,mp4,i
0,tt0848228,The Avengers,2012,/the-avengers,/the-avengers/feature-trailer,"Paramount Pictures|Marvel Studios|Action|Adventure|Comicbook|Samuel L. Jackson|Robert Downey, Jr.|Chris Evans|Chris Hemsworth|Jeremy Renner|Scarlett Johansson|Tom Hiddleston|Mark Ruffalo|Clark Gregg",the-avengers_feature-trailer,https://vod-progressive.akamaized.net/exp=1614567052~acl=%2A%2F672628421.mp4%2A~hmac=67225923774e951b304981850cf239c0bc9193be72459ab42e5d0cafea9df44e/vimeo-prod-skyfire-std-us/01/4885/7/199427458/672628421.mp4?filename=The+Avengers+-+Feature+Trailer+%2853612%29.mp4,0
1,tt0472033,9,2009,/9-feature,/9-feature/trailer,Focus Features|Action|CG Animation|Teaser|Remake,9-feature_trailer,https://vod-progressive.akamaized.net/exp=1614567460~acl=%2A%2F668367041.mp4%2A~hmac=229d266a30dc6e440e11e236e028b6e2c1955626ed56d7fc6ea460f2c9db41e1/vimeo-prod-skyfire-std-us/01/4691/7/198459490/668367041.mp4?filename=9+-+Trailer+%287982%29.mp4,1
2,tt0472033,9,2009,/9-feature,/9-feature/feature-trailer,Focus Features|Action|CG Animation|Remake|Elijah Wood|Jennifer Connelly|Christopher Plummer,9-feature_feature-trailer,https://vod-progressive.akamaized.net/exp=1614556665~acl=%2Fvimeo-prod-skyfire-std-us%2F01%2F4697%2F7%2F198485980%2F668474051.mp4~hmac=898b72acee679899e79a2802e98c055ac835787ac80467eae7a117c28d8ed2f9/vimeo-prod-skyfire-std-us/01/4697/7/198485980/668474051.mp4?filename=9+-+Feature+Trailer+%2811098%29.mp4,2
3,tt0416449,300,2007,/300,/300/teaser-trailer,Warner Bros. Pictures|Action|Comicbook|Teaser|Gerard Butler|Lena Headey|David Wenham|Vincent Regan|Rodrigo Santoro|Dominic West,300_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614567471~acl=%2A%2F667678482.mp4%2A~hmac=9d992b7c63772cc6126d24ed16734b6e91625586b47b010656f8f1c94934c3a4/vimeo-prod-skyfire-std-us/01/4660/7/198302882/667678482.mp4?filename=300+-+Teaser+Trailer+%2835%29.mp4,3
4,tt1190080,2012,2009,/2012,/2012/trailer,Columbia Pictures|Action|Adventure|John Cusack|Amanda Peet|Chiwetel Ejiofor|Danny Glover|Thandie Newton|Oliver Platt|Thomas McCarthy|Woody Harrelson|Chin Han|Morgan Lily|Beatrice Rosen,2012_trailer,https://vod-progressive.akamaized.net/exp=1614567481~acl=%2A%2F668502326.mp4%2A~hmac=c835f9557549084810ca9ba8d61a841abd644ffae958215450149ba39a647d03/vimeo-prod-skyfire-std-us/01/4698/7/198492618/668502326.mp4?filename=2012+-+Trailer+%2811768%29.mp4,4
5,tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/trailer,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|ChloÃ« Grace Moretz,500-days-of-summer_trailer,https://vod-progressive.akamaized.net/exp=1614567486~acl=%2A%2F668404448.mp4%2A~hmac=5e34b0daa8a768bf7c65d0c757c4eb3a14a560b073e8deff4391bfc0ee317ff3/vimeo-prod-skyfire-std-us/01/4693/7/198468771/668404448.mp4?filename=500+Days+of+Summer+-+Trailer+%289268%29.mp4,5
6,tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/teaser-trailer,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|ChloÃ« Grace Moretz,500-days-of-summer_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614567490~acl=%2A%2F668375387.mp4%2A~hmac=b457b85bcc77a4f2bf2d3ab59e6b374d7fc7b8075c30fabe0f5a30100c998fcc/vimeo-prod-skyfire-std-us/01/4692/7/198461571/668375387.mp4?filename=500+Days+of+Summer+-+Teaser+Trailer+%288287%29.mp4,6
7,tt2024544,12 Years a Slave,2013,/12-years-a-slave,/12-years-a-slave/trailer,Fox Searchlight|Drama|Biopic|Chiwetel Ejiofor|Michael Fassbender|Benedict Cumberbatch|Paul Dano|Paul Giamatti|Lupita Nyong'o|Sarah Paulson|Brad Pitt|Alfre Woodard|Scoot McNairy,12-years-a-slave_trailer,https://vod-progressive.akamaized.net/exp=1614567494~acl=%2A%2F673778074.mp4%2A~hmac=5fbfae83ae5ba377d412436aba678306e88c6624366d789dc4b23559db7b5f6c/vimeo-prod-skyfire-std-us/01/4939/7/199697233/673778074.mp4?filename=12+Years+a+Slave+-+Trailer+%2877108%29.mp4,7
8,tt2172934,3 Days to Kill,2014,/3-days-to-kill,/3-days-to-kill/trailer,Relativity Media|Thriller|Action|Kevin Costner|Amber Heard|Hailee Steinfeld|Connie Nielsen,3-days-to-kill_trailer,https://vod-progressive.akamaized.net/exp=1614567499~acl=%2A%2F674263491.mp4%2A~hmac=68fd888b37238329d94c1d19c5b66fc3e748f364d4727ec72359540dee3630ae/vimeo-prod-skyfire-std-us/01/4961/7/199806271/674263491.mp4?filename=3+Days+to+Kill+-+Trailer+%2884593%29.mp4,8
9,tt0120623,A Bug's Life,1998,/a-bugs-life,/a-bugs-life/trailer,Pixar Animation|Walt Disney Pictures|CG Animation|Family|Dave Foley|Denis Leary|Kevin Spacey|Phyllis Diller|Brad Garrett|Jonathan Harris,a-bugs-life_trailer,https://vod-progressive.akamaized.net/exp=1614567504~acl=%2A%2F668375957.mp4%2A~hmac=8c34ef013308fb3bddf9a7b8db3e3edb01dcd49a0e6a29389a2fd9ca8b9954bd/vimeo-prod-skyfire-std-us/01/4692/7/198461729/668375957.mp4?filename=A+Bug%27s+Life+-+Trailer+%288310%29.mp4,9
